C,penalty,solver,max_iter,class_weight,train_accuracy,val_accuracy,val_f1,gap
0.01,l1,liblinear,500,,0.5958803611738149,0.592140921409214,0.1456953642384106,0.0037394397646008937
0.01,l1,liblinear,500,balanced,0.6009029345372461,0.5880758807588076,0.28861154446177845,0.012827053778438513
0.01,l1,liblinear,1000,,0.5958803611738149,0.592140921409214,0.1456953642384106,0.0037394397646008937
0.01,l1,liblinear,1000,balanced,0.6009029345372461,0.5880758807588076,0.28861154446177845,0.012827053778438513
0.01,l1,saga,500,,0.5962753950338601,0.5925925925925926,0.14744801512287334,0.0036828024412675076
0.01,l1,saga,500,balanced,0.6007900677200902,0.5880758807588076,0.28861154446177845,0.01271418696128268
0.01,l1,saga,1000,,0.5962753950338601,0.5925925925925926,0.14744801512287334,0.0036828024412675076
0.01,l1,saga,1000,balanced,0.6007900677200902,0.5880758807588076,0.28861154446177845,0.01271418696128268
0.01,l2,saga,500,,0.7110609480812641,0.6928635953026197,0.5021961932650073,0.018197352778644427
0.01,l2,saga,500,balanced,0.7656320541760723,0.7411924119241192,0.6727584237578527,0.024439642251953053
0.01,l2,saga,1000,,0.7110609480812641,0.6928635953026197,0.5021961932650073,0.018197352778644427
0.01,l2,saga,1000,balanced,0.7656320541760723,0.7411924119241192,0.6727584237578527,0.024439642251953053
0.1,l1,liblinear,500,,0.7253386004514673,0.7168021680216802,0.5648854961832062,0.008536432429787078
0.1,l1,liblinear,500,balanced,0.7257900677200902,0.7118337850045167,0.6037267080745342,0.013956282715573587
0.1,l1,liblinear,1000,,0.7253386004514673,0.7168021680216802,0.5648854961832062,0.008536432429787078
0.1,l1,liblinear,1000,balanced,0.7257900677200902,0.7118337850045167,0.6037267080745342,0.013956282715573587
0.1,l1,saga,500,,0.7252821670428894,0.7163504968383018,0.5638888888888889,0.008931670204587627
0.1,l1,saga,500,balanced,0.7256772009029345,0.7118337850045167,0.6037267080745342,0.013843415898417866
0.1,l1,saga,1000,,0.7252821670428894,0.7163504968383018,0.5638888888888889,0.008931670204587627
0.1,l1,saga,1000,balanced,0.7256772009029345,0.7118337850045167,0.6037267080745342,0.013843415898417866
0.1,l2,saga,500,,0.8215575620767495,0.7750677506775068,0.6914498141263941,0.046489811399242686
0.1,l2,saga,500,balanced,0.843058690744921,0.7886178861788617,0.7373737373737373,0.054440804566059264
0.1,l2,saga,1000,,0.8215575620767495,0.7750677506775068,0.6914498141263941,0.046489811399242686
0.1,l2,saga,1000,balanced,0.843058690744921,0.7886178861788617,0.7373737373737373,0.054440804566059264
0.5,l1,liblinear,500,,0.8415914221218962,0.7877145438121048,0.7091584158415841,0.053876878309791376
0.5,l1,liblinear,500,balanced,0.8465575620767495,0.7940379403794038,0.7333333333333333,0.0525196216973457
0.5,l1,liblinear,1000,,0.8415914221218962,0.7877145438121048,0.7091584158415841,0.053876878309791376
0.5,l1,liblinear,1000,balanced,0.8465575620767495,0.7940379403794038,0.7333333333333333,0.0525196216973457
0.5,l1,saga,500,,0.8386568848758466,0.7881662149954833,0.7103150092649784,0.050490669880363215
0.5,l1,saga,500,balanced,0.8442437923250564,0.7958446251129178,0.7362893815635939,0.04839916721213866
0.5,l1,saga,1000,,0.8406320541760722,0.7877145438121048,0.7091584158415841,0.05291751036396741
0.5,l1,saga,1000,balanced,0.8462753950338601,0.7953929539295393,0.7352425482174167,0.05088244110432072
0.5,l2,saga,500,,0.8801354401805869,0.8148148148148148,0.7602339181286549,0.0653206253657721
0.5,l2,saga,500,balanced,0.8848194130925507,0.8084914182475158,0.7636566332218506,0.07632799484503494
0.5,l2,saga,1000,,0.8801354401805869,0.8148148148148148,0.7602339181286549,0.0653206253657721
0.5,l2,saga,1000,balanced,0.8848194130925507,0.8084914182475158,0.7636566332218506,0.07632799484503494
1.0,l1,liblinear,500,,0.8829006772009029,0.8139114724480578,0.7559241706161137,0.06898920475284509
1.0,l1,liblinear,500,balanced,0.8878668171557562,0.8170731707317073,0.7671075330649799,0.07079364642404895
1.0,l1,liblinear,1000,,0.8829006772009029,0.8139114724480578,0.7559241706161137,0.06898920475284509
1.0,l1,liblinear,1000,balanced,0.8878668171557562,0.8170731707317073,0.7671075330649799,0.07079364642404895
1.0,l1,saga,500,,0.8758465011286681,0.8107497741644083,0.7516301126259632,0.06509672696425983
1.0,l1,saga,500,balanced,0.881038374717833,0.8125564588979223,0.7621776504297995,0.0684819158199107
1.0,l1,saga,1000,,0.880079006772009,0.8112014453477868,0.7520759193357058,0.06887756142422219
1.0,l1,saga,1000,balanced,0.8859480812641084,0.8148148148148148,0.764638346727899,0.07113326644929363
1.0,l2,saga,500,,0.894920993227991,0.8188798554652214,0.7683419988445985,0.07604113776276966
1.0,l2,saga,500,balanced,0.8959367945823927,0.8202348690153568,0.7776536312849162,0.07570192556703592
1.0,l2,saga,1000,,0.8955417607223476,0.8202348690153568,0.7704728950403691,0.07530689170699079
1.0,l2,saga,1000,balanced,0.8968397291196388,0.8215898825654924,0.7796988287785834,0.07524984655414646
2.0,l1,liblinear,500,,0.907900677200903,0.8328816621499548,0.7880870561282932,0.0750190150509481
2.0,l1,liblinear,500,balanced,0.9093115124153499,0.8301716350496838,0.7890011223344556,0.07913987736566608
2.0,l1,liblinear,1000,,0.907900677200903,0.8328816621499548,0.7880870561282932,0.0750190150509481
2.0,l1,liblinear,1000,balanced,0.9093115124153499,0.8301716350496838,0.7890011223344556,0.07913987736566608
2.0,l1,saga,500,,0.8942437923250565,0.8188798554652214,0.768074031231926,0.07536393685983511
2.0,l1,saga,500,balanced,0.8973476297968397,0.8193315266485999,0.7737556561085973,0.07801610314823981
2.0,l1,saga,1000,,0.9019187358916478,0.8270099367660343,0.7787406123627961,0.07490879912561355
2.0,l1,saga,1000,balanced,0.9037810383747178,0.8256549232158988,0.7816742081447964,0.07812611515881895
2.0,l2,saga,500,,0.9010722347629797,0.8229448961156278,0.7757437070938215,0.07812733864735188
2.0,l2,saga,500,balanced,0.9011851015801354,0.8211382113821138,0.7802441731409545,0.08004689019802158
2.0,l2,saga,1000,,0.9059255079006772,0.8265582655826558,0.7813211845102506,0.07936724231802139
2.0,l2,saga,1000,balanced,0.9053611738148984,0.8211382113821138,0.7802441731409545,0.0842229624327846
5.0,l1,liblinear,500,,0.9232505643340858,0.8455284552845529,0.8063420158550396,0.07772210904953292
5.0,l1,liblinear,500,balanced,0.9234198645598194,0.8410117434507678,0.804661487236404,0.0824081211090516
5.0,l1,liblinear,1000,,0.9232505643340858,0.8455284552845529,0.8063420158550396,0.07772210904953292
5.0,l1,liblinear,1000,balanced,0.9234198645598194,0.8410117434507678,0.804661487236404,0.0824081211090516
5.0,l1,saga,500,,0.9031602708803612,0.8247515808491418,0.7790432801822323,0.07840869003121942
5.0,l1,saga,500,balanced,0.9031038374717832,0.8215898825654924,0.7804335742078933,0.08151395490629088
5.0,l1,saga,1000,,0.9123589164785553,0.8297199638663053,0.7866440294284097,0.08263895261224996
5.0,l1,saga,1000,balanced,0.9107223476297969,0.8279132791327913,0.7889196675900277,0.08280906849700553
5.0,l2,saga,500,,0.9050225733634312,0.8247515808491418,0.7797956867196367,0.08027099251428937
5.0,l2,saga,500,balanced,0.9042889390519188,0.8211382113821138,0.7812154696132597,0.08315072766980491
5.0,l2,saga,1000,,0.9122460496613995,0.8297199638663053,0.7866440294284097,0.08252608579509424
5.0,l2,saga,1000,balanced,0.9113995485327314,0.8274616079494128,0.7903402854006586,0.0839379405833186
10.0,l1,liblinear,500,,0.9301918735891648,0.8450767841011744,0.807627593942793,0.0851150894879904
10.0,l1,liblinear,500,balanced,0.9292889390519188,0.8410117434507678,0.8053097345132744,0.08827719560115099
10.0,l1,liblinear,1000,,0.9301918735891648,0.8450767841011744,0.807627593942793,0.0851150894879904
10.0,l1,liblinear,1000,balanced,0.9292889390519188,0.8410117434507678,0.8053097345132744,0.08827719560115099
10.0,l1,saga,500,,0.9056997742663657,0.8261065943992774,0.7818696883852692,0.07959317986708836
