number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_gru,params_dropout_post_gru,params_dropout_pre_gru,params_hidden_dim,params_learning_rate,params_n_layers,params_scheduler_factor,params_scheduler_patience,params_weight_decay,state
0,0.4688244168247495,2026-05-06 10:42:06.042640,2026-05-06 10:43:51.254842,0 days 00:01:45.212202,32,0.7,0.30000000000000004,0.4,48,0.0024286999710913305,2,0.8,3,0.000606510004206947,COMPLETE
1,0.48858677319117955,2026-05-06 10:43:51.256319,2026-05-06 10:45:34.812371,0 days 00:01:43.556052,32,0.5,0.30000000000000004,0.6,128,0.0003176746480907874,2,0.3,2,0.0003166340229910493,COMPLETE
2,0.4967498119388308,2026-05-06 10:45:34.813688,2026-05-06 10:47:18.309386,0 days 00:01:43.495698,32,0.4,0.2,0.30000000000000004,112,0.00013932329371933695,2,0.8,4,0.00042037739159486427,COMPLETE
3,0.46462369901793343,2026-05-06 10:47:18.312344,2026-05-06 10:48:34.228005,0 days 00:01:15.915661,32,0.4,0.30000000000000004,0.30000000000000004,64,0.0008947119277595144,1,0.8,5,0.0005534259435074011,COMPLETE
4,0.5361107336623329,2026-05-06 10:48:34.229142,2026-05-06 10:49:49.539238,0 days 00:01:15.310096,32,0.6000000000000001,0.6,0.5,96,5.330557677245752e-05,1,0.6000000000000001,5,0.003503463955730476,COMPLETE
5,0.4752433691705976,2026-05-06 10:49:49.540516,2026-05-06 10:50:39.388352,0 days 00:00:49.847836,64,0.4,0.2,0.4,128,0.0005591031483669886,1,0.5,5,0.0004173543701637558,COMPLETE
6,0.508909952214786,2026-05-06 10:50:39.389477,2026-05-06 10:52:18.822460,0 days 00:01:39.432983,32,0.4,0.6,0.5,80,0.00017224795172370843,2,0.5,2,0.000790608324269198,COMPLETE
7,0.5171846866607666,2026-05-06 10:52:18.824013,2026-05-06 10:53:33.199505,0 days 00:01:14.375492,32,0.6000000000000001,0.6,0.4,64,0.004054670019803308,1,0.4,5,0.00282067990215265,COMPLETE
8,0.5284856938653522,2026-05-06 10:53:33.200543,2026-05-06 10:54:19.653065,0 days 00:00:46.452522,128,0.3,0.5,0.2,128,0.0010100887630608542,2,0.7,2,0.008097492698094302,COMPLETE
9,0.44612132509549457,2026-05-06 10:54:19.654110,2026-05-06 10:55:03.173445,0 days 00:00:43.519335,128,0.7,0.6,0.2,64,0.000956270950942188,1,0.7,4,0.0002444802374701633,COMPLETE
10,0.4239119307862388,2026-05-06 10:55:03.174501,2026-05-06 10:55:41.484697,0 days 00:00:38.310196,128,0.7,0.5,0.2,32,0.001873525374286724,1,0.6000000000000001,4,0.00010108414175658912,COMPLETE
