epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.6703314445495605,0.5888449406699043,0.5544072948328268,0.3127214538804435,0.39988307512423266,0,0,0,0,0
2,0.6618692399024964,0.6051669754168127,0.5759549375110016,0.3739855983540976,0.4534996534996535,0,0,0,0,0
3,0.6512268045902252,0.6229910379011666,0.6042414913630921,0.4038175791519031,0.48410523431077007,0,0,0,0,0
4,0.6344056173324585,0.6429179392179443,0.6349974954082485,0.4346782489427363,0.5160808793594789,0,0,0,0,0
5,0.6320112133026123,0.6460221298753317,0.6323506227337222,0.4584523945593782,0.5315398886827458,0,0,0,0,0
6,0.6288662838935852,0.6499274019926902,0.6443714050944946,0.4481655046291005,0.5286503977349333,0,0,0,0,0
7,0.6253938533782959,0.6551344314825014,0.6448249027237354,0.47353983312378556,0.546065638592329,0,0,0,0,0
8,0.6226131701469422,0.6581384869573925,0.6487532910020133,0.47879757686592755,0.5509667236617125,0,0,0,0,0
9,0.6191189746379853,0.6615430831622691,0.651808884139826,0.4880557778031775,0.5581699346405229,0,0,0,0,0
10,0.6136609891414643,0.6671506533820658,0.6581363841637814,0.4997142530574923,0.568087318087318,0,0,0,0,0
