number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_gru,params_dropout_post_gru,params_dropout_pre_gru,params_hidden_dim,params_learning_rate,params_n_layers,params_scheduler_factor,params_scheduler_patience,params_weight_decay,state
0,0.4982444570043654,2026-05-15 21:08:17.023865,2026-05-15 21:12:09.796666,0 days 00:03:52.772801,32,3.3994812107955625,0.5,0.2,0.5,64,0.00010255552094216992,2,0.3,5,0.00013066739238053285,COMPLETE
1,0.49801679833810164,2026-05-15 21:12:09.797941,2026-05-15 21:15:09.386784,0 days 00:02:59.588843,32,3.0489195547657553,0.4,0.4,0.2,48,0.0003654769917956456,1,0.5,3,0.0003823475224675188,COMPLETE
2,0.4686390849545684,2026-05-15 21:15:09.388252,2026-05-15 21:17:33.058491,0 days 00:02:23.670239,64,2.416590316244232,0.3,0.5,0.4,48,0.0001096524277832185,2,0.4,2,0.00013492834268013249,COMPLETE
3,0.44050099793298303,2026-05-15 21:17:33.059555,2026-05-15 21:18:48.272018,0 days 00:01:15.212463,128,2.9792217348362575,0.3,0.6,0.4,80,0.00016463795672118082,1,0.4,5,0.0021137059440645744,COMPLETE
4,0.5088920715166458,2026-05-15 21:18:48.273041,2026-05-15 21:21:13.165874,0 days 00:02:24.892833,64,0.9547826400522686,0.7,0.2,0.4,128,0.00012329223607243696,2,0.7,3,0.00012315571723666037,COMPLETE
5,0.0,2026-05-15 21:21:13.167000,2026-05-15 21:23:37.269509,0 days 00:02:24.102509,64,0.663556801920782,0.7,0.2,0.6,128,0.003268132041482868,2,0.8,3,0.00830886096612208,COMPLETE
6,0.49512386157595856,2026-05-15 21:23:37.270641,2026-05-15 21:26:03.864715,0 days 00:02:26.594074,64,0.8705183732961068,0.7,0.30000000000000004,0.2,128,0.001323006470927295,2,0.8,2,0.0007695216630009447,COMPLETE
7,0.4392781976435268,2026-05-15 21:26:03.866132,2026-05-15 21:27:21.377401,0 days 00:01:17.511269,128,1.228592041513194,0.6000000000000001,0.30000000000000004,0.30000000000000004,96,5.82251919403596e-05,1,0.7,4,0.00036304464735524865,COMPLETE
8,0.4608269006849257,2026-05-15 21:27:21.378484,2026-05-15 21:29:47.082557,0 days 00:02:25.704073,64,1.2913239351339856,0.6000000000000001,0.4,0.6,96,0.0004402215256751091,2,0.6000000000000001,4,0.002993620086989373,COMPLETE
9,0.5364479653060183,2026-05-15 21:29:47.083688,2026-05-15 21:31:36.163853,0 days 00:01:49.080165,64,0.5054871548086214,0.5,0.2,0.30000000000000004,112,0.0009546094324387961,1,0.6000000000000001,3,0.00034182789779257786,COMPLETE
10,0.5143544277489457,2026-05-15 21:31:36.164972,2026-05-15 21:34:24.593882,0 days 00:02:48.428910,32,0.5280382898477118,0.5,0.30000000000000004,0.30000000000000004,96,0.001389507724575145,1,0.6000000000000001,2,0.00044673904186955945,COMPLETE
11,0.5295311601808094,2026-05-15 21:34:24.594891,2026-05-15 21:37:15.152905,0 days 00:02:50.558014,32,0.5111460771189937,0.5,0.30000000000000004,0.30000000000000004,96,0.0012320529151776147,1,0.6000000000000001,2,0.0003866077596728798,COMPLETE
12,0.4702507711555993,2026-05-15 21:37:15.154273,2026-05-15 21:40:06.343485,0 days 00:02:51.189212,32,0.5294414669193024,0.5,0.30000000000000004,0.30000000000000004,112,0.0011783111607523542,1,0.5,2,0.0011246029517767277,COMPLETE
13,0.57013708835255,2026-05-15 21:40:06.344709,2026-05-15 21:42:54.426295,0 days 00:02:48.081586,32,4.929612581414789,0.4,0.2,0.30000000000000004,80,0.0037459424459416737,1,0.7,3,0.0002442681707671261,COMPLETE
14,0.5553363858994775,2026-05-15 21:42:54.427300,2026-05-15 21:44:09.161211,0 days 00:01:14.733911,128,4.662027899191758,0.4,0.2,0.2,32,0.004702372489393772,1,0.7,4,0.00021613876167612698,COMPLETE
