number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_gru,params_dropout_post_gru,params_dropout_pre_gru,params_hidden_dim,params_learning_rate,params_n_layers,params_scheduler_factor,params_scheduler_patience,params_weight_decay,state
0,0.8774278173243346,2026-05-16 17:22:58.973266,2026-05-16 17:28:48.376437,0 days 00:05:49.403171,32,3.3994812107955625,0.5,0.2,0.5,64,0.00010255552094216992,2,0.3,5,0.00013066739238053285,COMPLETE
1,0.8678304779113122,2026-05-16 17:28:48.377720,2026-05-16 17:33:34.899479,0 days 00:04:46.521759,32,3.0489195547657553,0.4,0.4,0.2,48,0.0003654769917956456,1,0.5,3,0.0003823475224675188,COMPLETE
2,0.8768351276641362,2026-05-16 17:33:34.900747,2026-05-16 17:36:58.266594,0 days 00:03:23.365847,64,2.416590316244232,0.3,0.5,0.4,48,0.0001096524277832185,2,0.4,2,0.00013492834268013249,COMPLETE
3,0.8541891045236376,2026-05-16 17:36:58.267746,2026-05-16 17:38:48.776586,0 days 00:01:50.508840,128,2.9792217348362575,0.3,0.6,0.4,80,0.00016463795672118082,1,0.4,5,0.0021137059440645744,COMPLETE
4,0.8804427469499434,2026-05-16 17:38:48.777585,2026-05-16 17:42:16.547114,0 days 00:03:27.769529,64,0.9547826400522686,0.7,0.2,0.4,128,0.00012329223607243696,2,0.7,3,0.00012315571723666037,COMPLETE
5,0.0,2026-05-16 17:42:16.548175,2026-05-16 17:45:43.932398,0 days 00:03:27.384223,64,0.663556801920782,0.7,0.2,0.6,128,0.003268132041482868,2,0.8,3,0.00830886096612208,COMPLETE
6,0.8650915537549974,2026-05-16 17:45:43.933479,2026-05-16 17:49:12.110758,0 days 00:03:28.177279,64,0.8705183732961068,0.7,0.30000000000000004,0.2,128,0.001323006470927295,2,0.8,2,0.0007695216630009447,COMPLETE
7,0.8306391320382256,2026-05-16 17:49:12.111824,2026-05-16 17:51:03.063155,0 days 00:01:50.951331,128,1.228592041513194,0.6000000000000001,0.30000000000000004,0.30000000000000004,96,5.82251919403596e-05,1,0.7,4,0.00036304464735524865,COMPLETE
8,0.8481314434139383,2026-05-16 17:51:03.064207,2026-05-16 17:54:31.134710,0 days 00:03:28.070503,64,1.2913239351339856,0.6000000000000001,0.4,0.6,96,0.0004402215256751091,2,0.6000000000000001,4,0.002993620086989373,COMPLETE
9,0.86757609640355,2026-05-16 17:54:31.135774,2026-05-16 17:57:24.051172,0 days 00:02:52.915398,64,0.5054871548086214,0.5,0.2,0.30000000000000004,112,0.0009546094324387961,1,0.6000000000000001,3,0.00034182789779257786,COMPLETE
10,0.8770985851543474,2026-05-16 17:57:24.052469,2026-05-16 18:03:06.573400,0 days 00:05:42.520931,32,2.0944068231246855,0.6000000000000001,0.30000000000000004,0.5,32,0.00023014494150556348,2,0.7,2,0.00011335431394085084,COMPLETE
11,0.8679493318626683,2026-05-16 18:03:06.574641,2026-05-16 18:08:46.319331,0 days 00:05:39.744690,32,4.511641491641925,0.5,0.2,0.5,64,5.889633474573545e-05,2,0.5,5,0.00010514545637541948,COMPLETE
12,0.877834007720675,2026-05-16 18:08:46.320357,2026-05-16 18:14:28.911221,0 days 00:05:42.590864,32,4.738471609513925,0.5,0.2,0.5,80,0.00012005957849789305,2,0.3,4,0.00020430706680645529,COMPLETE
13,0.8747077935426064,2026-05-16 18:14:28.912262,2026-05-16 18:20:16.297082,0 days 00:05:47.384820,32,1.6409470570734113,0.4,0.30000000000000004,0.4,96,0.00021140789526899361,2,0.3,4,0.00026870775819288106,COMPLETE
14,0.8569171257894442,2026-05-16 18:20:16.298106,2026-05-16 18:22:30.213348,0 days 00:02:13.915242,128,0.8596794144518495,0.4,0.5,0.5,80,0.00011115155978673158,2,0.7,4,0.0008743316324023445,COMPLETE
