number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_gru,params_dropout_post_gru,params_dropout_pre_gru,params_hidden_dim,params_learning_rate,params_n_layers,params_scheduler_factor,params_scheduler_patience,params_weight_decay,state
0,0.6888618183513919,2026-05-14 16:21:56.563988,2026-05-14 16:25:50.926948,0 days 00:03:54.362960,32,3.3994812107955625,0.5,0.2,0.5,64,0.00010255552094216992,2,0.3,5,0.00013066739238053285,COMPLETE
1,0.71599733867908,2026-05-14 16:25:50.928143,2026-05-14 16:28:40.017544,0 days 00:02:49.089401,32,3.0489195547657553,0.4,0.4,0.2,48,0.0003654769917956456,1,0.5,3,0.0003823475224675188,COMPLETE
2,0.6836871538468202,2026-05-14 16:28:40.018580,2026-05-14 16:31:02.325083,0 days 00:02:22.306503,64,2.416590316244232,0.3,0.5,0.4,48,0.0001096524277832185,2,0.4,2,0.00013492834268013249,COMPLETE
3,0.6673888266878156,2026-05-14 16:31:02.326274,2026-05-14 16:32:17.491194,0 days 00:01:15.164920,128,2.9792217348362575,0.3,0.6,0.4,80,0.00016463795672118082,1,0.4,5,0.0021137059440645744,COMPLETE
4,0.6933069977205834,2026-05-14 16:32:17.492177,2026-05-14 16:34:45.662663,0 days 00:02:28.170486,64,0.9547826400522686,0.7,0.2,0.4,128,0.00012329223607243696,2,0.7,3,0.00012315571723666037,COMPLETE
5,0.6686330048876518,2026-05-14 16:34:45.663754,2026-05-14 16:37:36.943198,0 days 00:02:51.279444,32,0.5338857085259134,0.5,0.4,0.2,32,0.002010804001006617,1,0.6000000000000001,3,0.00830886096612208,COMPLETE
6,0.7197343539745443,2026-05-14 16:37:36.944466,2026-05-14 16:40:31.091585,0 days 00:02:54.147119,32,4.982175626258337,0.4,0.4,0.2,112,0.000834076117670142,1,0.8,2,0.0006589837388158311,COMPLETE
7,0.7089731462820529,2026-05-14 16:40:31.092591,2026-05-14 16:41:50.429368,0 days 00:01:19.336777,128,1.5698807618409583,0.7,0.30000000000000004,0.2,128,0.0018300881572762822,1,0.8,2,0.0010676916501410137,COMPLETE
8,0.6617025888515053,2026-05-14 16:41:50.430366,2026-05-14 16:44:45.647603,0 days 00:02:55.217237,32,4.887813808183246,0.4,0.6,0.6,96,0.004546930437040681,1,0.8,4,0.002993620086989373,COMPLETE
9,0.7139705973358491,2026-05-14 16:44:45.648656,2026-05-14 16:48:40.730679,0 days 00:03:55.082023,32,1.2328770938235076,0.6000000000000001,0.30000000000000004,0.30000000000000004,96,0.0005598234317643986,2,0.6000000000000001,2,0.00044615014214081326,COMPLETE
10,0.710957167679336,2026-05-14 16:48:40.731845,2026-05-14 16:50:34.022880,0 days 00:01:53.291035,64,0.7498594480949886,0.4,0.5,0.30000000000000004,112,0.0007571502672315567,1,0.7,4,0.0004820589937370416,COMPLETE
11,0.7102911620692309,2026-05-14 16:50:34.023901,2026-05-14 16:53:28.891226,0 days 00:02:54.867325,32,4.467971956930272,0.4,0.4,0.2,32,0.0002815808029440139,1,0.5,3,0.0003866077596728795,COMPLETE
12,0.7159526082072556,2026-05-14 16:53:28.892331,2026-05-14 16:56:20.977897,0 days 00:02:52.085566,32,2.1458551219519233,0.4,0.30000000000000004,0.30000000000000004,64,0.0009676536216777877,1,0.5,2,0.0008891715826640409,COMPLETE
13,0.7204150939120113,2026-05-14 16:56:20.979157,2026-05-14 16:59:15.676886,0 days 00:02:54.697729,32,3.7386316393920267,0.3,0.5,0.2,96,0.00036977305903927705,1,0.7,3,0.00026279705242435576,COMPLETE
14,0.7104792742138788,2026-05-14 16:59:15.677911,2026-05-14 17:02:09.211513,0 days 00:02:53.533602,32,3.9392397692528234,0.3,0.5,0.30000000000000004,96,0.00023443950034633952,1,0.7,4,0.00025455605418178674,COMPLETE
