number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_lstm,params_dropout_post_lstm,params_dropout_pre_lstm,params_hidden_dim,params_learning_rate,params_n_layers,params_scheduler_factor,params_scheduler_patience,params_weight_decay,state
0,0.5264660037226148,2026-05-04 01:21:37.201988,2026-05-04 01:22:22.064949,0 days 00:00:44.862961,128,0.4,0.6,0.6,64,0.00019330754938357489,1,0.5,2,0.0017299675490463752,COMPLETE
1,0.5587240342582975,2026-05-04 01:22:22.066289,2026-05-04 01:24:32.777145,0 days 00:02:10.710856,32,0.6000000000000001,0.2,0.6,32,0.0020699722588319444,2,0.8,3,0.003217469757300031,COMPLETE
2,0.5139494751180921,2026-05-04 01:24:32.778315,2026-05-04 01:26:08.554928,0 days 00:01:35.776613,32,0.3,0.2,0.4,32,0.00010212360517256359,1,0.7,2,0.00013312817017646978,COMPLETE
3,0.49562715656227535,2026-05-04 01:26:08.555980,2026-05-04 01:26:52.614904,0 days 00:00:44.058924,128,0.3,0.30000000000000004,0.6,112,0.00029449901958679853,1,0.6000000000000001,5,0.002532469116341601,COMPLETE
4,0.452300814645631,2026-05-04 01:26:52.616048,2026-05-04 01:29:04.699762,0 days 00:02:12.083714,32,0.7,0.6,0.2,112,5.449713788039988e-05,2,0.3,3,0.00025812185593641586,COMPLETE
5,0.4170314346040998,2026-05-04 01:29:04.700874,2026-05-04 01:30:28.515921,0 days 00:01:23.815047,64,0.7,0.30000000000000004,0.5,48,0.0004940905049539988,2,0.6000000000000001,3,0.00010931412615179323,COMPLETE
6,0.3810250869819096,2026-05-04 01:30:28.517061,2026-05-04 01:32:42.147977,0 days 00:02:13.630916,32,0.6000000000000001,0.30000000000000004,0.2,128,0.0017056978700689541,2,0.4,3,0.0010070099783979184,COMPLETE
7,0.5273216375282832,2026-05-04 01:32:42.149268,2026-05-04 01:34:54.213418,0 days 00:02:12.064150,32,0.3,0.6,0.2,48,0.00010127468310957073,2,0.7,5,0.004714337933755663,COMPLETE
8,0.49964073300361633,2026-05-04 01:34:54.214839,2026-05-04 01:35:52.570851,0 days 00:00:58.356012,128,0.5,0.5,0.2,48,0.002696222387804136,2,0.6000000000000001,4,0.006809058689764304,COMPLETE
9,0.41202645500500995,2026-05-04 01:35:52.572154,2026-05-04 01:36:35.411339,0 days 00:00:42.839185,128,0.6000000000000001,0.30000000000000004,0.6,64,0.0021063843067120583,1,0.3,4,0.00024254867171921544,COMPLETE
10,0.3844666072300502,2026-05-04 01:36:35.414251,2026-05-04 01:38:00.282389,0 days 00:01:24.868138,64,0.5,0.4,0.30000000000000004,128,0.0009652642035033088,2,0.4,2,0.0006616150187090232,COMPLETE
11,0.3643290068422045,2026-05-04 01:38:00.283664,2026-05-04 01:39:25.450150,0 days 00:01:25.166486,64,0.5,0.4,0.30000000000000004,128,0.0009891951215537495,2,0.4,2,0.0007651903268909801,COMPLETE
12,0.3722606369427272,2026-05-04 01:39:25.451618,2026-05-04 01:40:52.245905,0 days 00:01:26.794287,64,0.6000000000000001,0.4,0.30000000000000004,128,0.0008952489615804782,2,0.4,2,0.000799049791061277,COMPLETE
13,0.3529039421251842,2026-05-04 01:40:52.247560,2026-05-04 01:42:19.426705,0 days 00:01:27.179145,64,0.5,0.4,0.30000000000000004,96,0.0049639632673752435,2,0.4,2,0.0005986902510882772,COMPLETE
14,0.3457137929541724,2026-05-04 01:42:19.427910,2026-05-04 01:43:46.385346,0 days 00:01:26.957436,64,0.5,0.5,0.4,96,0.0037615782723761193,2,0.5,2,0.00033149602549727185,COMPLETE
15,0.34198434352874757,2026-05-04 01:43:46.387082,2026-05-04 01:45:13.074951,0 days 00:01:26.687869,64,0.4,0.5,0.4,96,0.004314534191389906,2,0.5,2,0.0003591268425172289,COMPLETE
16,0.38647041235651286,2026-05-04 01:45:13.076249,2026-05-04 01:46:37.349122,0 days 00:01:24.272873,64,0.4,0.5,0.4,96,0.004476782003940015,2,0.5,4,0.0003054295509654398,COMPLETE
17,0.4069415731089456,2026-05-04 01:46:37.350825,2026-05-04 01:47:40.692711,0 days 00:01:03.341886,64,0.4,0.5,0.5,80,0.0033315613704970864,1,0.5,3,0.00036240302889443884,COMPLETE
18,0.3394801433597292,2026-05-04 01:47:40.693704,2026-05-04 01:49:08.215392,0 days 00:01:27.521688,64,0.4,0.5,0.5,96,0.0013104855436457963,2,0.7,2,0.00016480537444510588,COMPLETE
19,0.3573349871805736,2026-05-04 01:49:08.216445,2026-05-04 01:50:34.920569,0 days 00:01:26.704124,64,0.4,0.5,0.5,80,0.0005842151438984599,2,0.8,3,0.00015617884967960075,COMPLETE
20,0.3578271154846464,2026-05-04 01:50:34.921759,2026-05-04 01:51:38.342096,0 days 00:01:03.420337,64,0.4,0.6,0.5,112,0.0013942022391013023,1,0.7,2,0.00019653632322301425,COMPLETE
21,0.35585381133215765,2026-05-04 01:51:38.343263,2026-05-04 01:53:05.406124,0 days 00:01:27.062861,64,0.4,0.5,0.4,96,0.003047941256180459,2,0.5,2,0.00040664804601544277,COMPLETE
22,0.3529762153114591,2026-05-04 01:53:05.407246,2026-05-04 01:54:30.490728,0 days 00:01:25.083482,64,0.5,0.5,0.4,80,0.0034824759408442637,2,0.6000000000000001,2,0.0003983551196960035,COMPLETE
