epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.6814494647026063,0.5696189856306013,0.5179114961367361,0.25282889473082637,0.33978494623655914,0,0,0,0,0
2,0.6689090036392212,0.5975567015470886,0.5636070853462157,0.3600411475597211,0.43939182591714326,0,0,0,0,0
3,0.666720869731903,0.601461973664447,0.5693931398416886,0.3699851411589896,0.44852431758348343,0,0,0,0,0
4,0.663389047908783,0.6057177189205427,0.5848543689320388,0.34426791633329523,0.43341247571767755,0,0,0,0,0
5,0.660158114528656,0.6159315075351725,0.615121742844938,0.32918047776888787,0.4288586106767925,0,0,0,0,0
6,0.6550407308578491,0.6261953637410504,0.6291004226202456,0.35729797691164705,0.4557515672838606,0,0,0,0,0
7,0.6500121118068695,0.630701446953387,0.6325545472098861,0.37444279346210996,0.4704192992533027,0,0,0,0,0
8,0.649536949634552,0.6297501627196715,0.6262117822520508,0.3839295919533661,0.4760150216112804,0,0,0,0,0
9,0.6466969619750976,0.6338056376107746,0.6432993808667865,0.36815636072694025,0.4683047397499273,0,0,0,0,0
10,0.6439876935005188,0.6352575977569719,0.6349060081091044,0.3937592867756315,0.48606701940035274,0,0,0,0,0
