number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_lstm,params_dropout_post_lstm,params_dropout_pre_lstm,params_hidden_dim,params_learning_rate,params_n_layers,params_scheduler_factor,params_scheduler_patience,params_weight_decay,state
0,0.8778089144570635,2026-05-11 21:13:34.378704,2026-05-11 21:19:37.472380,0 days 00:06:03.093676,32,3.3994812107955625,0.5,0.2,0.5,64,0.00010255552094216992,2,0.3,5,0.00013066739238053285,COMPLETE
1,0.868033541358711,2026-05-11 21:19:37.473640,2026-05-11 21:24:32.623846,0 days 00:04:55.150206,32,3.0489195547657553,0.4,0.4,0.2,48,0.0003654769917956456,1,0.5,3,0.0003823475224675188,COMPLETE
2,0.8710161588335182,2026-05-11 21:24:32.624897,2026-05-11 21:28:13.823548,0 days 00:03:41.198651,64,2.416590316244232,0.3,0.5,0.4,48,0.0001096524277832185,2,0.4,2,0.00013492834268013249,COMPLETE
3,0.8027008784542922,2026-05-11 21:28:13.824608,2026-05-11 21:30:10.427967,0 days 00:01:56.603359,128,2.9792217348362575,0.3,0.6,0.4,80,0.00016463795672118082,1,0.4,5,0.0021137059440645744,COMPLETE
4,0.8777607482652527,2026-05-11 21:30:10.428953,2026-05-11 21:33:52.712409,0 days 00:03:42.283456,64,0.9547826400522686,0.7,0.2,0.4,128,0.00012329223607243696,2,0.7,3,0.00012315571723666037,COMPLETE
5,0.0,2026-05-11 21:33:52.713428,2026-05-11 21:40:02.102341,0 days 00:06:09.388913,32,4.906179135299493,0.6000000000000001,0.2,0.6,80,0.003268132041482868,2,0.3,5,0.00830886096612208,COMPLETE
6,0.7876750415540954,2026-05-11 21:40:02.103360,2026-05-11 21:46:24.989244,0 days 00:06:22.885884,32,0.5312978870500903,0.5,0.30000000000000004,0.6,128,5.2712818944370345e-05,2,0.8,5,0.0007695216630009447,COMPLETE
7,0.8675539160676946,2026-05-11 21:46:24.990248,2026-05-11 21:48:20.852484,0 days 00:01:55.862236,128,1.5698807618409583,0.5,0.30000000000000004,0.2,32,0.0013271671049466566,1,0.6000000000000001,4,0.0003601748732333323,COMPLETE
8,0.0,2026-05-11 21:48:20.853551,2026-05-11 21:54:31.816691,0 days 00:06:10.963140,32,4.8790411808839504,0.7,0.4,0.5,80,0.0005075835673047475,2,0.3,4,0.002993620086989373,COMPLETE
9,0.8457415343649888,2026-05-11 21:54:31.818052,2026-05-11 21:59:42.087782,0 days 00:05:10.269730,32,1.383879586680754,0.4,0.2,0.5,112,5.3841981257891275e-05,1,0.5,4,0.0002964895652574559,COMPLETE
10,0.8622680364047921,2026-05-11 21:59:42.089075,2026-05-11 22:03:18.703988,0 days 00:03:36.614913,64,2.2018685216476275,0.6000000000000001,0.30000000000000004,0.30000000000000004,64,0.0003912789968855898,2,0.6000000000000001,2,0.000974651974309243,COMPLETE
11,0.8780342450582733,2026-05-11 22:03:18.705036,2026-05-11 22:06:58.968653,0 days 00:03:40.263617,64,0.8784570615105046,0.7,0.2,0.4,112,0.00013909445000958519,2,0.8,3,0.00010514545637541948,COMPLETE
12,0.8783691337297752,2026-05-11 22:06:58.969651,2026-05-11 22:10:39.007300,0 days 00:03:40.037649,64,0.8001160655312646,0.6000000000000001,0.2,0.5,96,0.00021959533800378005,2,0.8,3,0.00011000158484196811,COMPLETE
13,0.8714998073980927,2026-05-11 22:10:39.008560,2026-05-11 22:14:17.880401,0 days 00:03:38.871841,64,0.6827238001307122,0.6000000000000001,0.30000000000000004,0.30000000000000004,112,0.00023438460574705836,2,0.8,3,0.00025061564933235886,COMPLETE
14,0.8740864373698845,2026-05-11 22:14:17.881435,2026-05-11 22:17:54.471656,0 days 00:03:36.590221,64,0.9873467792192387,0.7,0.5,0.5,96,0.0008039424709510238,2,0.7,3,0.00010335585008593389,COMPLETE
