number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_post_rnn,params_dropout_pre_rnn,params_dropout_rnn,params_hidden_dim,params_learning_rate,params_n_layers,params_scheduler_factor,params_scheduler_patience,params_weight_decay,state
0,0.5105178794054003,2026-05-15 00:34:25.043715,2026-05-15 00:38:07.597045,0 days 00:03:42.553330,32,3.3994812107955625,0.2,0.5,0.5,64,0.00010255552094216992,2,0.3,5,0.00013066739238053285,COMPLETE
1,0.5506858126821159,2026-05-15 00:38:07.598371,2026-05-15 00:40:49.854208,0 days 00:02:42.255837,32,3.0489195547657553,0.4,0.2,0.4,48,0.0003654769917956456,1,0.5,3,0.0003823475224675188,COMPLETE
2,0.5115726848810175,2026-05-15 00:40:49.855260,2026-05-15 00:43:07.606144,0 days 00:02:17.750884,64,2.416590316244232,0.5,0.4,0.3,48,0.0001096524277832185,2,0.4,2,0.00013492834268013249,COMPLETE
3,0.4662152806732949,2026-05-15 00:43:07.607259,2026-05-15 00:44:19.798672,0 days 00:01:12.191413,128,2.9792217348362575,0.6,0.4,0.3,80,0.00016463795672118082,1,0.4,5,0.0021137059440645744,COMPLETE
4,0.5361479084680496,2026-05-15 00:44:19.799873,2026-05-15 00:46:37.791548,0 days 00:02:17.991675,64,0.9547826400522686,0.2,0.4,0.7,128,0.00012329223607243696,2,0.7,3,0.00012315571723666037,COMPLETE
5,0.10476190476190476,2026-05-15 00:46:37.792780,2026-05-15 00:49:26.689187,0 days 00:02:48.896407,32,0.5338857085259134,0.4,0.2,0.5,32,0.002010804001006617,1,0.6000000000000001,3,0.00830886096612208,COMPLETE
6,0.5526244403243936,2026-05-15 00:49:26.690199,2026-05-15 00:52:12.394823,0 days 00:02:45.704624,32,4.982175626258337,0.4,0.2,0.4,112,0.000834076117670142,1,0.8,2,0.0006589837388158311,COMPLETE
7,0.5003616039315858,2026-05-15 00:52:12.395808,2026-05-15 00:53:26.553345,0 days 00:01:14.157537,128,1.5698807618409583,0.30000000000000004,0.2,0.7,128,0.0018300881572762822,1,0.8,2,0.0010676916501410137,COMPLETE
8,0.11541307028360048,2026-05-15 00:53:26.554500,2026-05-15 00:56:12.349862,0 days 00:02:45.795362,32,4.887813808183246,0.6,0.6,0.4,96,0.004546930437040681,1,0.8,4,0.002993620086989373,COMPLETE
9,0.5414239174473352,2026-05-15 00:56:12.351027,2026-05-15 00:59:53.533362,0 days 00:03:41.182335,32,1.2328770938235076,0.30000000000000004,0.30000000000000004,0.6000000000000001,96,0.0005598234317643986,2,0.6000000000000001,2,0.00044615014214081326,COMPLETE
10,0.5310224047329537,2026-05-15 00:59:53.534725,2026-05-15 01:01:41.219378,0 days 00:01:47.684653,64,0.7498594480949886,0.5,0.30000000000000004,0.4,112,0.0007571502672315567,1,0.7,4,0.0004820589937370416,COMPLETE
11,0.5132193428541666,2026-05-15 01:01:41.220406,2026-05-15 01:04:28.099853,0 days 00:02:46.879447,32,4.467971956930272,0.4,0.2,0.4,32,0.0002815808029440139,1,0.5,3,0.0003866077596728795,COMPLETE
12,0.5585950723890866,2026-05-15 01:04:28.101367,2026-05-15 01:07:13.716691,0 days 00:02:45.615324,32,2.1458551219519233,0.30000000000000004,0.30000000000000004,0.4,64,0.0009676536216777877,1,0.5,2,0.0008891715826640409,COMPLETE
13,0.493281800957181,2026-05-15 01:07:13.717957,2026-05-15 01:09:58.636193,0 days 00:02:44.918236,32,1.6830347954706018,0.30000000000000004,0.30000000000000004,0.3,80,0.0011355131148969597,1,0.7,2,0.001083191218314782,COMPLETE
14,0.5132400607985093,2026-05-15 01:09:58.639448,2026-05-15 01:12:44.484221,0 days 00:02:45.844773,32,2.0654515613445503,0.30000000000000004,0.30000000000000004,0.5,96,0.0011913776614798524,1,0.4,2,0.002018197133848844,COMPLETE
