epoque,train_loss_moy,train_loss_std,train_accuracy_moy,train_accuracy_std,train_precision_moy,train_precision_std,train_recall_moy,train_recall_std,train_f1_moy,train_f1_std,val_loss_moy,val_loss_std,val_accuracy_moy,val_accuracy_std,val_precision_moy,val_precision_std,val_recall_moy,val_recall_std,val_f1_moy,val_f1_std,val_auc_moy,val_auc_std
1,0.661759594464302,0.0104032220773195,0.5923622678473094,0.015366928150588736,0.5763945975339744,0.04007724454739838,0.26680150225542426,0.03290861292757961,0.3634929776760324,0.03326491635090158,0.5625515521518768,0.0269556422402377,0.7163676553628942,0.02042553008551507,0.7328132642577759,0.05847676412147768,0.5688577636200277,0.04375575563619712,0.6370434797457005,0.017531842328290196,0.7926632319905083,0.021305965174283584
2,0.46200278300046926,0.02014384797692231,0.7876757821559058,0.013515188648976724,0.8023266928346076,0.012525724567489408,0.6834213989753637,0.023456451141522727,0.7380490760771088,0.018971769116652642,0.3947923921403431,0.015599785114036669,0.8233619014253545,0.01133053178454514,0.8563467315944073,0.013955724987156531,0.7182498407253124,0.045241292255005436,0.7800470887974802,0.021875817336497898,0.9046556017549724,0.007088107902420768
3,0.27215291424989696,0.013224672025140185,0.8920916856772937,0.0066162594379880315,0.9052621804114451,0.00671848223829508,0.8417247606800972,0.009423722732849372,0.8723326945936545,0.008055372909243304,0.3237714995467474,0.009801338662220412,0.8662197300957695,0.004999090753599585,0.8799803980573788,0.01892514357281142,0.8052341419586704,0.02035335295830548,0.8405354103980468,0.006472205804580464,0.9358390425840998,0.003988022370932918
4,0.16874084047079085,0.007508415912477373,0.9408325364078781,0.003261380084109805,0.9469576092898844,0.002309719579605086,0.9162474761700651,0.006383457336503524,0.9313405416901771,0.00394538863376952,0.2989207407548314,0.012129350532492162,0.8806890435778826,0.001759706395125792,0.8739037275323172,0.007015884972774935,0.8504979498488933,0.010665680730208831,0.8619547513396911,0.002825999417258009,0.94837209687654,0.003354965407036122
5,0.11749110648334027,0.004598802766844924,0.962536869821889,0.0022177260246329738,0.9634465958823176,0.001809247047566324,0.9505371053007572,0.0035570646687737803,0.9569469077848188,0.002591171165041968,0.2997560925781727,0.016358007544445663,0.8894006591865269,0.005125378452915993,0.8882170681989384,0.012201192092475381,0.8554123662501022,0.007311598308138643,0.8714229860947059,0.0052120414420232354,0.9520805032910411,0.0043222506013868124
6,0.08629391967654229,0.0021838719993195906,0.9737270208142054,0.0007176912835678258,0.9728359626932136,0.0010881047800619578,0.9670247912967159,0.0013265059415564328,0.9699208578802819,0.0008275602914731519,0.3089831609811101,0.02330716071915906,0.8919039761143592,0.0026027981322598198,0.8922474772507576,0.009226365715829295,0.8568993220615863,0.008784438287295353,0.8741322443385924,0.002784849898422831,0.953469579925672,0.004617448079754178
7,0.06679412615820765,0.002331471245736687,0.980060581609996,0.0005757970786376046,0.979006124910628,0.0005256446340753799,0.975397175106648,0.0011411525325324592,0.9771979632078344,0.0006671632960043183,0.3222404420375824,0.027552198186678735,0.8938064919657333,0.005142274931356243,0.8962039917544207,0.020333192630035364,0.8578127583108716,0.017999425940675582,0.8761994318886736,0.005150019831308077,0.9544200281564145,0.0051147065580900136
8,0.05235214696750044,0.0010054891786399865,0.9843789168426882,0.00045042481000482796,0.9828320812416731,0.0005353543433879917,0.9814836446022902,0.0010552473550160875,0.9821569628551426,0.0005212453285232805,0.3277517149609232,0.01761909204172306,0.8970108479364856,0.0025750506482567575,0.8983521271713724,0.007832262929718786,0.8626143918974108,0.007216334291816968,0.8800658864409933,0.00284486116240435,0.9555059099030476,0.00414674671350324
9,0.04559503383897244,0.001727745098625381,0.9859435134035877,0.0004971960000041048,0.9847453945710498,0.000889576141927245,0.9831409221725552,0.00027159144263137953,0.9839423881540675,0.0005632753021066412,0.35135932907698647,0.028826086566169352,0.897061060928063,0.003876047785975193,0.8994232996082581,0.012019696433998962,0.8617002368700482,0.01480733190702665,0.8799741512720111,0.004972247445803176,0.9547927798595323,0.004553480048373426
10,0.041373456140980126,0.0013642625876051078,0.9874079949924262,0.0004026799169469592,0.986071792586104,0.0007187991674748778,0.9851697262874287,0.0003185408651356323,0.9856204510426334,0.0004564308821162243,0.3437472119927406,0.019017940932776707,0.8978617864218105,0.00439858409409377,0.8994119004489397,0.006853194980473009,0.8635276321163113,0.013821648462229325,0.8810047165801185,0.005955922225378375,0.9559455132402853,0.004598168491800976
