number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_post_rnn,params_dropout_pre_rnn,params_dropout_rnn,params_hidden_dim,params_learning_rate,params_n_layers,params_scheduler_factor,params_scheduler_patience,params_weight_decay,state
0,0.8770317692572492,2026-05-15 23:54:13.987000,2026-05-15 23:59:53.659830,0 days 00:05:39.672830,32,3.3994812107955625,0.2,0.5,0.5,64,0.00018408992080552527,2,0.3,5,0.00013066739238053285,COMPLETE
1,0.866526547348443,2026-05-15 23:59:53.661010,2026-05-16 00:04:38.530408,0 days 00:04:44.869398,32,3.0489195547657553,0.4,0.2,0.4,48,0.0005418282319533242,1,0.5,3,0.0003823475224675188,COMPLETE
2,0.8810047165801185,2026-05-16 00:04:38.531704,2026-05-16 00:07:59.326722,0 days 00:03:20.795018,64,2.416590316244232,0.5,0.4,0.3,48,0.00019485671251272575,2,0.4,2,0.00013492834268013249,COMPLETE
3,0.85106265805242,2026-05-16 00:07:59.327673,2026-05-16 00:09:48.396334,0 days 00:01:49.068661,128,2.9792217348362575,0.6,0.4,0.3,80,0.00027520696850790545,1,0.4,5,0.0021137059440645744,COMPLETE
4,0.8769799827952982,2026-05-16 00:09:48.397639,2026-05-16 00:13:11.718062,0 days 00:03:23.320423,64,0.9547826400522686,0.2,0.4,0.7,128,0.000215262809722153,2,0.7,3,0.00012315571723666037,COMPLETE
5,0.0,2026-05-16 00:13:11.719029,2026-05-16 00:16:33.104641,0 days 00:03:21.385612,64,0.5338857085259134,0.6,0.6,0.3,32,0.0034841373014948248,2,0.8,2,0.00830886096612208,COMPLETE
6,0.864836731556457,2026-05-16 00:16:33.105808,2026-05-16 00:19:54.183686,0 days 00:03:21.077878,64,1.6855781672726535,0.4,0.2,0.7,112,0.0001047164438072391,2,0.6000000000000001,2,0.0007695216630009447,COMPLETE
7,0.8639160788998925,2026-05-16 00:19:54.184630,2026-05-16 00:21:42.675514,0 days 00:01:48.490884,128,1.636188063964623,0.5,0.30000000000000004,0.5,32,0.001620424980720664,1,0.3,4,0.0003586685470257247,COMPLETE
8,0.8605029299258646,2026-05-16 00:21:42.676475,2026-05-16 00:25:02.625044,0 days 00:03:19.948569,64,4.807857539193892,0.5,0.6,0.5,80,0.0007109068251537348,2,0.5,2,0.002993620086989373,COMPLETE
9,0.8686327918050709,2026-05-16 00:25:02.626003,2026-05-16 00:27:51.302246,0 days 00:02:48.676243,64,1.0443416000580197,0.30000000000000004,0.30000000000000004,0.4,96,0.0005781888258147285,1,0.4,4,0.0002955924332889302,COMPLETE
10,0.8564892061767122,2026-05-16 00:27:51.303198,2026-05-16 00:33:26.645493,0 days 00:05:35.342295,32,2.2018685216476275,0.5,0.5,0.6000000000000001,64,0.00010037881909458908,2,0.6000000000000001,3,0.0009639261700449093,COMPLETE
11,0.8773242210953848,2026-05-16 00:33:26.646563,2026-05-16 00:39:03.460062,0 days 00:05:36.813499,32,4.5643673382792915,0.2,0.5,0.4,64,0.0002370810218946715,2,0.3,5,0.00010569690892119952,COMPLETE
12,0.8749114627043845,2026-05-16 00:39:03.461243,2026-05-16 00:44:36.622464,0 days 00:05:33.161221,32,4.570947242038728,0.30000000000000004,0.5,0.4,48,0.00035144452991276397,2,0.4,4,0.00011001002440524409,COMPLETE
13,0.8606401740501433,2026-05-16 00:44:36.623402,2026-05-16 00:50:11.432501,0 days 00:05:34.809099,32,2.23396165671536,0.4,0.4,0.3,64,0.001069990357405286,2,0.3,5,0.00021790529135303394,COMPLETE
14,0.8715306002963071,2026-05-16 00:50:11.433450,2026-05-16 00:52:20.485937,0 days 00:02:09.052487,128,3.8463744431835276,0.30000000000000004,0.5,0.4,48,0.0001418049285115827,2,0.4,3,0.0001956399378135012,COMPLETE
