number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_post_rnn,params_dropout_pre_rnn,params_dropout_rnn,params_hidden_dim,params_learning_rate,params_n_layers,params_scheduler_factor,params_scheduler_patience,params_weight_decay,state
0,0.6915329964637371,2026-05-15 14:49:12.282920,2026-05-15 14:52:59.471231,0 days 00:03:47.188311,32,3.3994812107955625,0.2,0.5,0.5,64,0.00010255552094216992,2,0.3,5,0.00013066739238053285,COMPLETE
1,0.7172675663463928,2026-05-15 14:52:59.472507,2026-05-15 14:55:47.088563,0 days 00:02:47.616056,32,3.0489195547657553,0.4,0.2,0.4,48,0.0003654769917956456,1,0.5,3,0.0003823475224675188,COMPLETE
2,0.6858004704880694,2026-05-15 14:55:47.089735,2026-05-15 14:58:08.345284,0 days 00:02:21.255549,64,2.416590316244232,0.5,0.4,0.3,48,0.0001096524277832185,2,0.4,2,0.00013492834268013249,COMPLETE
3,0.6773676158352406,2026-05-15 14:58:08.346416,2026-05-15 14:59:24.145293,0 days 00:01:15.798877,128,2.9792217348362575,0.6,0.4,0.3,80,0.00016463795672118082,1,0.4,5,0.0021137059440645744,COMPLETE
4,0.6977161173755337,2026-05-15 14:59:24.146326,2026-05-15 15:01:46.842315,0 days 00:02:22.695989,64,0.9547826400522686,0.2,0.4,0.7,128,0.00012329223607243696,2,0.7,3,0.00012315571723666037,COMPLETE
5,0.6668620652989734,2026-05-15 15:01:46.843716,2026-05-15 15:04:36.665556,0 days 00:02:49.821840,32,0.5338857085259134,0.4,0.2,0.5,32,0.002010804001006617,1,0.6000000000000001,3,0.00830886096612208,COMPLETE
6,0.7106583201179943,2026-05-15 15:04:36.667053,2026-05-15 15:07:23.445927,0 days 00:02:46.778874,32,4.982175626258337,0.4,0.2,0.4,112,0.000834076117670142,1,0.8,2,0.0006589837388158311,COMPLETE
7,0.7064090011862505,2026-05-15 15:07:23.447426,2026-05-15 15:08:39.736306,0 days 00:01:16.288880,128,1.5698807618409583,0.30000000000000004,0.2,0.7,32,0.0004960281433134101,1,0.5,4,0.0005234878117183911,COMPLETE
8,0.6758477135714231,2026-05-15 15:08:39.737316,2026-05-15 15:11:25.406585,0 days 00:02:45.669269,32,1.413252894407453,0.6,0.6,0.5,80,0.004116872913975088,1,0.6000000000000001,4,0.0016715497814415725,COMPLETE
9,0.7163073758687674,2026-05-15 15:11:25.407785,2026-05-15 15:15:01.766965,0 days 00:03:36.359180,32,4.720945016216621,0.30000000000000004,0.30000000000000004,0.4,96,0.0003945173598476267,2,0.5,3,0.00034182789779257786,COMPLETE
10,0.6435726822332601,2026-05-15 15:15:01.768000,2026-05-15 15:16:49.672954,0 days 00:01:47.904954,64,2.2018685216476275,0.5,0.30000000000000004,0.6000000000000001,64,5.056401182267126e-05,1,0.3,2,0.0051157217815787775,COMPLETE
11,0.7158767243474623,2026-05-15 15:16:49.674030,2026-05-15 15:20:32.196110,0 days 00:03:42.522080,32,4.467971956930272,0.30000000000000004,0.30000000000000004,0.4,96,0.00043985319207524403,2,0.5,3,0.000370347072267621,COMPLETE
12,0.71757930060921,2026-05-15 15:20:32.197143,2026-05-15 15:24:14.974520,0 days 00:03:42.777377,32,3.5839165220797375,0.30000000000000004,0.30000000000000004,0.4,96,0.0002883158417948169,2,0.5,3,0.0003191840457681811,COMPLETE
13,0.7084402751129621,2026-05-15 15:24:14.975753,2026-05-15 15:28:02.368640,0 days 00:03:47.392887,32,2.1819632019113886,0.4,0.30000000000000004,0.4,64,0.0002520527888806151,2,0.4,4,0.00026100912250972804,COMPLETE
14,0.7247134589341271,2026-05-15 15:28:02.369656,2026-05-15 15:30:49.422140,0 days 00:02:47.052484,32,3.0751043787781027,0.30000000000000004,0.2,0.3,96,0.0013691438214807413,1,0.7,3,0.001082870102385771,COMPLETE
