number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_gru,params_dropout_post_gru,params_dropout_pre_gru,params_factor,params_hidden_dim,params_learning_rate,params_n_layers,params_patience,params_weight_decay,state
0,0.8774278173243346,2026-05-30 18:43:55.355412,2026-05-30 18:50:05.155863,0 days 00:06:09.800451,32,3.3994812107955625,0.5,0.2,0.5,0.1,64,0.00010255552094216992,2,4,0.00013066739238053285,COMPLETE
1,0.873405181349565,2026-05-30 18:50:05.157116,2026-05-30 18:54:57.546414,0 days 00:04:52.389298,32,3.0489195547657553,0.4,0.4,0.2,0.4,48,0.0003654769917956456,1,2,0.0003823475224675188,COMPLETE
2,0.8746519997471542,2026-05-30 18:54:57.547645,2026-05-30 18:58:23.445818,0 days 00:03:25.898173,64,2.416590316244232,0.3,0.5,0.4,0.35,48,0.0001096524277832185,2,0,0.00013492834268013249,COMPLETE
3,0.8541891045236376,2026-05-30 18:58:23.446984,2026-05-30 19:00:14.277715,0 days 00:01:50.830731,128,2.9792217348362575,0.3,0.6,0.4,0.25,80,0.00016463795672118082,1,4,0.0021137059440645744,COMPLETE
4,0.8809315650547092,2026-05-30 19:00:14.278767,2026-05-30 19:03:43.563208,0 days 00:03:29.284441,64,0.9547826400522686,0.7,0.2,0.4,0.8,128,0.00012329223607243696,2,1,0.00012315571723666037,COMPLETE
5,0.0,2026-05-30 19:03:43.564412,2026-05-30 19:07:12.703017,0 days 00:03:29.138605,64,0.663556801920782,0.7,0.2,0.6,0.9,128,0.003268132041482868,2,0,0.00830886096612208,COMPLETE
6,0.8689711856124726,2026-05-30 19:07:12.704344,2026-05-30 19:10:41.953423,0 days 00:03:29.249079,64,0.8705183732961068,0.7,0.30000000000000004,0.2,0.8,128,0.001323006470927295,2,2,0.0007695216630009447,COMPLETE
7,0.8306391320382256,2026-05-30 19:10:41.954424,2026-05-30 19:12:33.143560,0 days 00:01:51.189136,128,1.228592041513194,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.65,96,5.82251919403596e-05,1,1,0.00036304464735524865,COMPLETE
8,0.8532036203110793,2026-05-30 19:12:33.144674,2026-05-30 19:16:02.775168,0 days 00:03:29.630494,64,1.2913239351339856,0.6000000000000001,0.4,0.6,0.6,96,0.0004402215256751091,2,1,0.002993620086989373,COMPLETE
9,0.8700908378476206,2026-05-30 19:16:02.776170,2026-05-30 19:18:57.255580,0 days 00:02:54.479410,64,0.5054871548086214,0.5,0.2,0.30000000000000004,0.75,112,0.0009546094324387961,1,3,0.00034182789779257786,COMPLETE
10,0.8780626648692877,2026-05-30 19:18:57.256788,2026-05-30 19:24:43.934267,0 days 00:05:46.677479,32,2.0944068231246855,0.6000000000000001,0.30000000000000004,0.5,0.55,32,0.00023014494150556348,2,1,0.00011335431394085084,COMPLETE
11,0.8777781313874607,2026-05-30 19:24:43.935288,2026-05-30 19:30:28.859928,0 days 00:05:44.924640,32,2.009687604462305,0.6000000000000001,0.30000000000000004,0.5,0.55,32,0.00023244420702849903,2,1,0.0001048399596698456,COMPLETE
12,0.8454947293428503,2026-05-30 19:30:28.861025,2026-05-30 19:36:15.879437,0 days 00:05:47.018412,32,1.5746173370924064,0.7,0.30000000000000004,0.5,0.9,32,5.290318752144175e-05,2,2,0.00020481357813965549,COMPLETE
13,0.8716998170759741,2026-05-30 19:36:15.880477,2026-05-30 19:42:04.541210,0 days 00:05:48.660733,32,4.929612581414789,0.6000000000000001,0.2,0.4,0.7000000000000001,80,0.0002429152260771112,2,1,0.0008030203458999818,COMPLETE
14,0.8783468375990722,2026-05-30 19:42:04.542469,2026-05-30 19:44:22.265257,0 days 00:02:17.722788,128,0.8596794144518495,0.5,0.30000000000000004,0.5,0.45000000000000007,112,0.0007297505929095251,2,0,0.00022186932802000227,COMPLETE
