alpha,penalty,learning_rate,eta0,class_weight,train_accuracy,val_accuracy,val_f1,gap
0.0001,l1,optimal,0.01,None,0.8508465011286682,0.7881662149954833,0.7152398299939283,0.06268028613318488
0.0001,l1,optimal,0.01,balanced,0.8548532731376975,0.7958446251129178,0.7347417840375586,0.059008648024779786
0.0001,l1,constant,0.01,None,0.82127539503386,0.7764227642276422,0.6927374301675978,0.04485263080621782
0.0001,l1,constant,0.01,balanced,0.8305304740406321,0.7841011743450768,0.7240184757505773,0.046429299695555315
0.0001,l1,constant,0.1,None,0.849548532731377,0.7981029810298103,0.7295825771324864,0.05144555170156673
0.0001,l1,constant,0.1,balanced,0.8526523702031603,0.7994579945799458,0.7474402730375427,0.053194375623214496
0.0001,l1,invscaling,0.01,None,0.7147855530474041,0.7068654019873533,0.6040268456375839,0.00792015106005084
0.0001,l1,invscaling,0.01,balanced,0.7161399548532731,0.6869918699186992,0.6735751295336787,0.02914808493457388
0.0001,l1,invscaling,0.1,None,0.7379796839729119,0.7213188798554652,0.6230910201588271,0.016660804117446748
0.0001,l1,invscaling,0.1,balanced,0.7471218961625282,0.7222222222222222,0.6889226100151745,0.02489967394030601
0.0001,l2,optimal,0.01,None,0.8865124153498871,0.8175248419150858,0.7648428405122235,0.06898757343480133
0.0001,l2,optimal,0.01,balanced,0.8891083521444695,0.8152664859981933,0.7726514730405781,0.07384186614627619
0.0001,l2,constant,0.01,None,0.8591422121896163,0.8021680216802168,0.7392857142857143,0.05697419050939945
0.0001,l2,constant,0.01,balanced,0.8683972911963883,0.7985546522131888,0.7511160714285714,0.06984263898319953
0.0001,l2,constant,0.1,None,0.8806433408577878,0.8107497741644083,0.7571014492753623,0.06989356669337954
0.0001,l2,constant,0.1,balanced,0.8853837471783296,0.8080397470641373,0.7653230259525124,0.07734400011419229
0.0001,l2,invscaling,0.01,None,0.7273702031602709,0.7145438121047877,0.6220095693779905,0.012826391055483222
0.0001,l2,invscaling,0.01,balanced,0.7146726862302483,0.6775067750677507,0.6703601108033241,0.03716591116249757
0.0001,l2,invscaling,0.1,None,0.756038374717833,0.7326106594399278,0.6480380499405469,0.023427715277905214
0.0001,l2,invscaling,0.1,balanced,0.7628668171557562,0.7204155374887082,0.6946225949679329,0.04245127966704798
0.0001,elasticnet,optimal,0.01,None,0.8807562076749436,0.8121047877145439,0.7581395348837209,0.0686514199603997
0.0001,elasticnet,optimal,0.01,balanced,0.8857787810383747,0.8125564588979223,0.7667228780213603,0.07322232214045243
0.0001,elasticnet,constant,0.01,None,0.8536117381489842,0.7981029810298103,0.7324955116696589,0.05550875711917391
0.0001,elasticnet,constant,0.01,balanced,0.8644469525959368,0.7990063233965673,0.7504206393718452,0.06544062919936955
0.0001,elasticnet,constant,0.1,None,0.8794018058690745,0.8125564588979223,0.7580174927113703,0.06684534697115219
0.0001,elasticnet,constant,0.1,balanced,0.8848194130925507,0.8116531165311653,0.7687188019966722,0.0731662965613854
0.0001,elasticnet,invscaling,0.01,None,0.725507900677201,0.7122854561878952,0.617876424715057,0.013222444489305762
0.0001,elasticnet,invscaling,0.01,balanced,0.7153498871331828,0.6797651309846432,0.6719111522443313,0.03558475614853962
0.0001,elasticnet,invscaling,0.1,None,0.753668171557562,0.7308039747064138,0.6448152562574494,0.022864196851148266
0.0001,elasticnet,invscaling,0.1,balanced,0.7611738148984198,0.7226738934056007,0.696039603960396,0.03849992149281911
0.001,l1,optimal,0.01,None,0.6891647855530474,0.6815718157181572,0.4671201814058957,0.0075929698348902175
0.001,l1,optimal,0.01,balanced,0.6932279909706546,0.6811201445347786,0.5373525557011796,0.012107846435875924
0.001,l1,constant,0.01,None,0.6869638826185102,0.6815718157181572,0.4671201814058957,0.0053920669003529875
0.001,l1,constant,0.01,balanced,0.6953160270880361,0.6869918699186992,0.5520361990950227,0.008324157169336877
0.001,l1,constant,0.1,None,0.688882618510158,0.6802168021680217,0.4660633484162896,0.008665816342136257
0.001,l1,constant,0.1,balanced,0.6938487584650113,0.6851851851851852,0.5447419986936642,0.008663573279826031
0.001,l1,invscaling,0.01,None,0.6605530474040632,0.6526648599819331,0.46186144156752973,0.007888187422130044
0.001,l1,invscaling,0.01,balanced,0.552313769751693,0.5519421860885275,0.6339483394833948,0.00037158366316547564
0.001,l1,invscaling,0.1,None,0.666196388261851,0.6562782294489612,0.46596491228070175,0.009918158812889821
0.001,l1,invscaling,0.1,balanced,0.6844808126410835,0.6820234869015357,0.5733333333333334,0.002457325739547822
0.001,l2,optimal,0.01,None,0.7946388261851016,0.7579042457091237,0.6594663278271918,0.036734580475977885
0.001,l2,optimal,0.01,balanced,0.8244920993227991,0.7737127371273713,0.7158252977878616,0.05077936219542778
