alpha,class_weight,eta0,l1_ratio,learning_rate,penalty,mean_best_f1
1e-05,,0.001,0.15,constant,l2,0.5753316364471452
1e-05,,0.001,0.15,constant,elasticnet,0.5753316364471452
1e-05,,0.001,0.15,optimal,l2,0.8504589330481969
1e-05,,0.001,0.15,optimal,elasticnet,0.8531914800617239
1e-05,,0.001,0.15,invscaling,l2,0.5345401232182463
1e-05,,0.001,0.15,invscaling,elasticnet,0.5345760374143385
1e-05,,0.001,0.15,adaptive,l2,0.5753316364471452
1e-05,,0.001,0.15,adaptive,elasticnet,0.5753316364471452
1e-05,,0.001,0.5,constant,l2,0.5753316364471452
1e-05,,0.001,0.5,constant,elasticnet,0.5753316364471452
1e-05,,0.001,0.5,optimal,l2,0.8504589330481969
1e-05,,0.001,0.5,optimal,elasticnet,0.8570689071749185
1e-05,,0.001,0.5,invscaling,l2,0.5345401232182463
1e-05,,0.001,0.5,invscaling,elasticnet,0.5343901861687039
1e-05,,0.001,0.5,adaptive,l2,0.5753316364471452
1e-05,,0.001,0.5,adaptive,elasticnet,0.5753316364471452
1e-05,,0.01,0.15,constant,l2,0.7155113691943427
1e-05,,0.01,0.15,constant,elasticnet,0.715640782998701
1e-05,,0.01,0.15,optimal,l2,0.8504589330481969
1e-05,,0.01,0.15,optimal,elasticnet,0.8531914800617239
1e-05,,0.01,0.15,invscaling,l2,0.5358391170687484
1e-05,,0.01,0.15,invscaling,elasticnet,0.5358391170687484
1e-05,,0.01,0.15,adaptive,l2,0.7155113691943427
1e-05,,0.01,0.15,adaptive,elasticnet,0.715640782998701
1e-05,,0.01,0.5,constant,l2,0.7155113691943427
1e-05,,0.01,0.5,constant,elasticnet,0.7157886446592009
1e-05,,0.01,0.5,optimal,l2,0.8504589330481969
1e-05,,0.01,0.5,optimal,elasticnet,0.8570689071749185
1e-05,,0.01,0.5,invscaling,l2,0.5358391170687484
1e-05,,0.01,0.5,invscaling,elasticnet,0.5357456853244669
1e-05,,0.01,0.5,adaptive,l2,0.7155113691943427
1e-05,,0.01,0.5,adaptive,elasticnet,0.7157886446592009
1e-05,,0.1,0.15,constant,l2,0.8116406981739454
1e-05,,0.1,0.15,constant,elasticnet,0.8122616739268226
1e-05,,0.1,0.15,optimal,l2,0.8504589330481969
1e-05,,0.1,0.15,optimal,elasticnet,0.8531914800617239
1e-05,,0.1,0.15,invscaling,l2,0.5569430174152655
1e-05,,0.1,0.15,invscaling,elasticnet,0.5569430174152655
1e-05,,0.1,0.15,adaptive,l2,0.8116406981739454
1e-05,,0.1,0.15,adaptive,elasticnet,0.8122616739268226
1e-05,,0.1,0.5,constant,l2,0.8116406981739454
1e-05,,0.1,0.5,constant,elasticnet,0.8133540917644767
1e-05,,0.1,0.5,optimal,l2,0.8504589330481969
1e-05,,0.1,0.5,optimal,elasticnet,0.8570689071749185
1e-05,,0.1,0.5,invscaling,l2,0.5569430174152655
1e-05,,0.1,0.5,invscaling,elasticnet,0.5566761579232713
1e-05,,0.1,0.5,adaptive,l2,0.8116406981739454
1e-05,,0.1,0.5,adaptive,elasticnet,0.8133540917644767
1e-05,balanced,0.001,0.15,constant,l2,0.7512476554902513
1e-05,balanced,0.001,0.15,constant,elasticnet,0.7513450099932413
1e-05,balanced,0.001,0.15,optimal,l2,0.8509259787571961
1e-05,balanced,0.001,0.15,optimal,elasticnet,0.8529640858451387
1e-05,balanced,0.001,0.15,invscaling,l2,0.7381286647574453
1e-05,balanced,0.001,0.15,invscaling,elasticnet,0.7381800643135384
1e-05,balanced,0.001,0.15,adaptive,l2,0.7512476554902513
1e-05,balanced,0.001,0.15,adaptive,elasticnet,0.7513450099932413
1e-05,balanced,0.001,0.5,constant,l2,0.7512476554902513
1e-05,balanced,0.001,0.5,constant,elasticnet,0.7515881298866878
1e-05,balanced,0.001,0.5,optimal,l2,0.8509259787571961
1e-05,balanced,0.001,0.5,optimal,elasticnet,0.856409539767886
1e-05,balanced,0.001,0.5,invscaling,l2,0.7381286647574453
1e-05,balanced,0.001,0.5,invscaling,elasticnet,0.7381796321307018
1e-05,balanced,0.001,0.5,adaptive,l2,0.7512476554902513
1e-05,balanced,0.001,0.5,adaptive,elasticnet,0.7515881298866878
1e-05,balanced,0.01,0.15,constant,l2,0.7701861359389923
1e-05,balanced,0.01,0.15,constant,elasticnet,0.7702816810374878
1e-05,balanced,0.01,0.15,optimal,l2,0.8509259787571961
1e-05,balanced,0.01,0.15,optimal,elasticnet,0.8529640858451387
1e-05,balanced,0.01,0.15,invscaling,l2,0.7404609631697643
1e-05,balanced,0.01,0.15,invscaling,elasticnet,0.7405100017359592
1e-05,balanced,0.01,0.15,adaptive,l2,0.7701861359389923
1e-05,balanced,0.01,0.15,adaptive,elasticnet,0.7702816810374878
1e-05,balanced,0.01,0.5,constant,l2,0.7701861359389923
1e-05,balanced,0.01,0.5,constant,elasticnet,0.7703296620054771
1e-05,balanced,0.01,0.5,optimal,l2,0.8509259787571961
1e-05,balanced,0.01,0.5,optimal,elasticnet,0.856409539767886
1e-05,balanced,0.01,0.5,invscaling,l2,0.7404609631697643
1e-05,balanced,0.01,0.5,invscaling,elasticnet,0.7404073601335688
1e-05,balanced,0.01,0.5,adaptive,l2,0.7701861359389923
1e-05,balanced,0.01,0.5,adaptive,elasticnet,0.7703296620054771
1e-05,balanced,0.1,0.15,constant,l2,0.815656311522465
1e-05,balanced,0.1,0.15,constant,elasticnet,0.815656692876181
1e-05,balanced,0.1,0.15,optimal,l2,0.8509259787571961
