epoque,train_accuracy_moy,train_accuracy_std,train_accuracy_n_plis,train_f1_moy,train_f1_std,train_f1_n_plis,train_precision_moy,train_precision_std,train_precision_n_plis,train_recall_moy,train_recall_std,train_recall_n_plis,train_log_loss_moy,train_log_loss_std,train_log_loss_n_plis,val_accuracy_moy,val_accuracy_std,val_accuracy_n_plis,val_f1_moy,val_f1_std,val_f1_n_plis,val_precision_moy,val_precision_std,val_precision_n_plis,val_recall_moy,val_recall_std,val_recall_n_plis,val_log_loss_moy,val_log_loss_std,val_log_loss_n_plis
1,0.9115305997088384,0.0016096519985974152,5,0.9097059333662394,0.0013472936447494117,5,0.9124679725422471,0.0035179670299150412,5,0.9079169635897465,0.0008524456249025468,5,0.23038415147495175,0.0055184921526264,5,0.827115993138644,0.00803885298507928,5,0.823077680638567,0.007783028396552768,5,0.8269081233348355,0.00924612331321675,5,0.8211133791390314,0.007256100854972564,5,0.4230645200261665,0.021101252809346493,5
2,0.9428102847560963,0.0006456442188390913,5,0.9416470431882045,0.000549562164302006,5,0.944313740874988,0.0022744817781307253,5,0.9397900137077855,0.0010283062550029845,5,0.1781917243595988,0.0021617496802914652,5,0.8503473859099037,0.008334794927422132,5,0.8468180172950298,0.009130828936271606,5,0.8508628859889544,0.007309659054731539,5,0.8447956257076784,0.010129910299517826,5,0.35941786002913145,0.015373428846312858,5
3,0.9515971672389419,0.0013299265812372679,5,0.9506106153266292,0.0013823138902062165,5,0.9531831761605754,0.0011292428367606615,5,0.9486606894031766,0.0016011700377910238,5,0.17085800656808092,0.0019657110746616577,5,0.8563055597162954,0.006183029844337016,5,0.8529928793537385,0.0061583976210076155,5,0.8565442254257738,0.006996189017084935,5,0.8507625999254216,0.005810223397679933,5,0.34775728407731005,0.014042833216817598,5
4,0.9543383777326154,0.0013195744912723312,5,0.9533823492189072,0.0013733748859745658,5,0.9563270695878261,0.0011653708863644393,5,0.9512130801648994,0.0016433474448111073,5,0.16992587459864272,0.002000981589692612,5,0.8580078879270093,0.007080693768140898,5,0.8545622304328496,0.006971114851329791,5,0.8588811190777935,0.008267840204622769,5,0.8519997233111463,0.006410509495022554,5,0.34267728217076615,0.015638396038182015,5
5,0.9560156370275414,0.001028743342875518,5,0.9550667581651918,0.0010605705099962612,5,0.9584264703604749,0.0009361695026946243,5,0.9526392027448951,0.0011453795923941608,5,0.17047762275393447,0.0019349334322187057,5,0.8591594149672568,0.006987082882624312,5,0.855472549237648,0.007021398121843326,5,0.8609085589611372,0.007878880020024053,5,0.8524451389987284,0.006689893380876782,5,0.3416390759040492,0.013794265027563035,5
6,0.9566414795686707,0.001151726929175365,5,0.955755681498921,0.0011832077144100601,5,0.9583857689374607,0.0011166416958944142,5,0.9537568434679334,0.0012643680884623781,5,0.17145947773175463,0.001907590929108351,5,0.8612621685970758,0.00755547660451219,5,0.8581272581870163,0.0075264031403984724,5,0.8614783301811405,0.008464842560933583,5,0.8559667490212151,0.007081131441704169,5,0.3390146896347127,0.013306856146803964,5
7,0.9568918245753316,0.0012259176363688025,5,0.9559866337011641,0.0012632348075920599,5,0.9589790566950622,0.001148990890758333,5,0.9537716345163428,0.0013771265045279513,5,0.17186572433640224,0.001890597659968027,5,0.8598602910623759,0.0067455794086676004,5,0.8563939383302772,0.006940545298831427,5,0.8609213498174739,0.007034992222226193,5,0.8537369637156417,0.00692275193226689,5,0.33980523395493745,0.01314591725950979,5
8,0.957217254831846,0.0009606060184980754,5,0.9562985302714649,0.0010149241799223198,5,0.9596037155388009,0.0005994195198151997,5,0.9539099461954939,0.0013273784762475543,5,0.1726091746444091,0.001925267491385729,5,0.8593097405808339,0.005454027275616352,5,0.8557240192283778,0.005343838800363567,5,0.8608243328023398,0.006829853614553637,5,0.8528815174022177,0.004912699478925279,5,0.33948813727383315,0.01290659574660366,5
9,0.9571296406205194,0.0013110701977843992,5,0.9562296642093845,0.001328545122134324,5,0.9592280407859921,0.001500916344381323,5,0.9540083798354821,0.0012480861229480715,5,0.17303907112196715,0.0018230375278685041,5,0.8600606541852829,0.006040684133417855,5,0.8566111463485301,0.006007986340937457,5,0.8611574588363913,0.007067657432607278,5,0.8539531830341691,0.005638628683744768,5,0.33899683805404324,0.012754836765056975,5
10,0.9572673260265689,0.0009404766745082261,5,0.9563619016516016,0.0009717731184224039,5,0.9594771876893582,0.0008165309105984278,5,0.9540711026136923,0.0010696284496043886,5,0.17356907990821493,0.0017708091395965684,5,0.8605612799675108,0.006963158162222614,5,0.8570689071749185,0.007058387124953035,5,0.8618074979898147,0.007577535693309118,5,0.8543097199437065,0.0068594332780728675,5,0.3387812962893681,0.012812285720756727,5
