alpha,class_weight,eta0,l1_ratio,learning_rate,penalty,mean_best_f1
1e-05,,0.001,0.15,constant,l2,0.509709910444858
1e-05,,0.001,0.15,constant,elasticnet,0.509709910444858
1e-05,,0.001,0.15,optimal,l2,0.8569048277737734
1e-05,,0.001,0.15,optimal,elasticnet,0.8595183500602911
1e-05,,0.001,0.15,invscaling,l2,0.4710824918305973
1e-05,,0.001,0.15,invscaling,elasticnet,0.47111299196359313
1e-05,,0.001,0.15,adaptive,l2,0.509709910444858
1e-05,,0.001,0.15,adaptive,elasticnet,0.509709910444858
1e-05,,0.001,0.5,constant,l2,0.509709910444858
1e-05,,0.001,0.5,constant,elasticnet,0.5096116228176965
1e-05,,0.001,0.5,optimal,l2,0.8569048277737734
1e-05,,0.001,0.5,optimal,elasticnet,0.8627936873985222
1e-05,,0.001,0.5,invscaling,l2,0.4710824918305973
1e-05,,0.001,0.5,invscaling,elasticnet,0.47100747115023334
1e-05,,0.001,0.5,adaptive,l2,0.509709910444858
1e-05,,0.001,0.5,adaptive,elasticnet,0.5096116228176965
1e-05,,0.01,0.15,constant,l2,0.6945036997066277
1e-05,,0.01,0.15,constant,elasticnet,0.6945730507499241
1e-05,,0.01,0.15,optimal,l2,0.8569048277737734
1e-05,,0.01,0.15,optimal,elasticnet,0.8595183500602911
1e-05,,0.01,0.15,invscaling,l2,0.47223088352875625
1e-05,,0.01,0.15,invscaling,elasticnet,0.47223088352875625
1e-05,,0.01,0.15,adaptive,l2,0.6945036997066277
1e-05,,0.01,0.15,adaptive,elasticnet,0.6945730507499241
1e-05,,0.01,0.5,constant,l2,0.6945036997066277
1e-05,,0.01,0.5,constant,elasticnet,0.6947106637527728
1e-05,,0.01,0.5,optimal,l2,0.8569048277737734
1e-05,,0.01,0.5,optimal,elasticnet,0.8627936873985222
1e-05,,0.01,0.5,invscaling,l2,0.47223088352875625
1e-05,,0.01,0.5,invscaling,elasticnet,0.47223088352875625
1e-05,,0.01,0.5,adaptive,l2,0.6945036997066277
1e-05,,0.01,0.5,adaptive,elasticnet,0.6947106637527728
1e-05,,0.1,0.15,constant,l2,0.8125006456930512
1e-05,,0.1,0.15,constant,elasticnet,0.8133282550348611
1e-05,,0.1,0.15,optimal,l2,0.8569048277737734
1e-05,,0.1,0.15,optimal,elasticnet,0.8595183500602911
1e-05,,0.1,0.15,invscaling,l2,0.4899986521180386
1e-05,,0.1,0.15,invscaling,elasticnet,0.4899986521180386
1e-05,,0.1,0.15,adaptive,l2,0.8125006456930512
1e-05,,0.1,0.15,adaptive,elasticnet,0.8133282550348611
1e-05,,0.1,0.5,constant,l2,0.8125006456930512
