epoque,train_accuracy_moy,train_accuracy_std,train_accuracy_n_plis,train_f1_moy,train_f1_std,train_f1_n_plis,train_precision_moy,train_precision_std,train_precision_n_plis,train_recall_moy,train_recall_std,train_recall_n_plis,train_log_loss_moy,train_log_loss_std,train_log_loss_n_plis,val_accuracy_moy,val_accuracy_std,val_accuracy_n_plis,val_f1_moy,val_f1_std,val_f1_n_plis,val_precision_moy,val_precision_std,val_precision_n_plis,val_recall_moy,val_recall_std,val_recall_n_plis,val_log_loss_moy,val_log_loss_std,val_log_loss_n_plis
1,0.9104419865597869,0.0013420723551886048,5,0.8948398306104661,0.0013400086943542607,5,0.9228364337069479,0.0061551108987082425,5,0.8685534591194969,0.005015991910020804,5,0.22696388807917128,0.002726129306316336,5,0.8355071191608554,0.005222996252979262,5,0.8059760600542288,0.006889713008541621,5,0.83512889077971,0.008416310057441277,5,0.7789594053744998,0.012669766938332341,5,0.4081691795299328,0.007721504479942277,5
2,0.9393122123920362,0.0015323038523325973,5,0.9286832629315862,0.0018876211702072603,5,0.9584557767686975,0.004367641453798867,5,0.9007432818753573,0.005040372300142384,5,0.18014799672429466,0.0011210528012495348,5,0.8559747805556215,0.003419433319816449,5,0.8304368056784874,0.0053846408272886495,5,0.8586979968594972,0.007787212986420129,5,0.8042309891366495,0.014575162673915938,5,0.34832960199727775,0.005395476483178503,5
3,0.9462852266354018,0.0009083562874144838,5,0.9367426281059155,0.001142689072592544,5,0.9689591705370162,0.0009552777705513782,5,0.9066037735849056,0.002353243639480475,5,0.17545814477625016,0.000668081330235871,5,0.862847291831921,0.004126041093230297,5,0.8374181986088185,0.005311209168104101,5,0.8723423038478184,0.006042727119510752,5,0.8052601486563751,0.00915237177988051,5,0.3380546081751349,0.0064044816568410825,5
4,0.948241705905389,0.000895685280996991,5,0.9390267289094506,0.0011220073270311656,5,0.9716747588742771,0.002910902378379967,5,0.9085191538021726,0.0034006224280647163,5,0.17515633135260295,0.0008813687128504088,5,0.8645028857585448,0.005118375471566343,5,0.8392456972795127,0.006583224370561755,5,0.8750611409475679,0.00862816997660707,5,0.8064036592338478,0.01205088718370517,5,0.3328975755283562,0.006099161223000495,5
5,0.9492450003176278,0.0009494553789682535,5,0.940272229728812,0.0012518131153818842,5,0.9718473771674704,0.003933739506398006,5,0.9107204116638078,0.004795251308464663,5,0.17590013922742426,0.0008494064721225042,5,0.8654561343432892,0.005089099484656268,5,0.8404908457220357,0.006202430518744724,5,0.8758110888834523,0.010827824707831592,5,0.8081189251000573,0.012088805293449979,5,0.33083700726210913,0.00591322086969925,5
6,0.9495710859629094,0.000579237487719655,5,0.9405300536482277,0.0007256642081766328,5,0.9743474907728551,0.0035347454370105637,5,0.9090051457975987,0.0035263908393617692,5,0.17664151677012097,0.0005017022422143563,5,0.8656065353392002,0.0037304324650795644,5,0.8400847766728973,0.005297762952984429,5,0.8788231590906301,0.010588283024161108,5,0.8049170954831333,0.014311709865900062,5,0.33050369520593903,0.005899521679263627,5
7,0.9502859343031025,0.0006823093492866389,5,0.9414643305668271,0.0008352011535780987,5,0.973675470545625,0.0015009970955837642,5,0.9113207547169813,0.0018975902544626601,5,0.1774916748752298,0.0011093905430676401,5,0.8675128059822119,0.004004406109666078,5,0.8433321330477067,0.005507739634946308,5,0.876154149791246,0.006968128393121084,5,0.8130360205831904,0.011976874531985059,5,0.3296403752798135,0.005187637783053034,5
8,0.9503235730899362,0.0008992036131889805,5,0.9415051742723393,0.0010169970897971363,5,0.9738222388657398,0.004217598702274655,5,0.9112921669525443,0.0035815802774993278,5,0.17818273823874525,0.0007950560732023971,5,0.8667101597502469,0.00367055239827461,5,0.8418198981785586,0.004853783625174188,5,0.8779477396517296,0.003035566732151093,5,0.8085763293310464,0.0075800175730939,5,0.3296192457234386,0.005551213336647549,5
9,0.950574392957585,0.0009347939486820965,5,0.9418052758746773,0.0010960245405053862,5,0.9740210379645882,0.0027800902000769357,5,0.911663807890223,0.002508566148482611,5,0.17864893357314204,0.0008297643518336872,5,0.8658574637516736,0.00323536821278008,5,0.8408519609231717,0.0037173468335076672,5,0.8768384286053722,0.007323206492485842,5,0.8077758719268153,0.006432183469605582,5,0.3293456303287107,0.0057980290442555624,5
10,0.9504113489553407,0.0007333631431695354,5,0.9415110069744628,0.0008322636171789794,5,0.9755433493034594,0.0019739064976618463,5,0.9097770154373928,0.0012893050067215182,5,0.1791744171953741,0.0007198545198415758,5,0.8663090065291223,0.0038565467604144616,5,0.8408448535009801,0.004579549654413219,5,0.8800842662648234,0.00769661336885313,5,0.8050314465408805,0.007304159827408261,5,0.3295035406967698,0.006239074470290113,5
