number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_gru,params_dropout_post_gru,params_dropout_pre_gru,params_factor,params_hidden_dim,params_learning_rate,params_n_layers,params_patience,params_weight_decay,state
0,0.4982444570043654,2026-05-25 16:46:36.321261,2026-05-25 16:50:36.310240,0 days 00:03:59.988979,32,3.3994812107955625,0.5,0.2,0.5,0.1,64,0.00010255552094216992,2,4,0.00013066739238053285,COMPLETE
1,0.49801679833810164,2026-05-25 16:50:36.311428,2026-05-25 16:53:27.107286,0 days 00:02:50.795858,32,3.0489195547657553,0.4,0.4,0.2,0.4,48,0.0003654769917956456,1,2,0.0003823475224675188,COMPLETE
2,0.4686390849545684,2026-05-25 16:53:27.108773,2026-05-25 16:55:53.630510,0 days 00:02:26.521737,64,2.416590316244232,0.3,0.5,0.4,0.35,48,0.0001096524277832185,2,0,0.00013492834268013249,COMPLETE
3,0.44050099793298303,2026-05-25 16:55:53.631517,2026-05-25 16:57:18.344179,0 days 00:01:24.712662,128,2.9792217348362575,0.3,0.6,0.4,0.25,80,0.00016463795672118082,1,4,0.0021137059440645744,COMPLETE
4,0.5088920715166458,2026-05-25 16:57:18.345186,2026-05-25 16:59:50.586414,0 days 00:02:32.241228,64,0.9547826400522686,0.7,0.2,0.4,0.8,128,0.00012329223607243696,2,1,0.00012315571723666037,COMPLETE
5,0.0,2026-05-25 16:59:50.587457,2026-05-25 17:02:26.856006,0 days 00:02:36.268549,64,0.663556801920782,0.7,0.2,0.6,0.9,128,0.003268132041482868,2,0,0.00830886096612208,COMPLETE
6,0.5030664150097015,2026-05-25 17:02:26.857095,2026-05-25 17:05:01.626059,0 days 00:02:34.768964,64,0.8705183732961068,0.7,0.30000000000000004,0.2,0.8,128,0.001323006470927295,2,2,0.0007695216630009447,COMPLETE
7,0.4392781976435268,2026-05-25 17:05:01.627200,2026-05-25 17:06:20.732997,0 days 00:01:19.105797,128,1.228592041513194,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.65,96,5.82251919403596e-05,1,1,0.00036304464735524865,COMPLETE
8,0.46113714214942314,2026-05-25 17:06:20.734231,2026-05-25 17:08:51.545776,0 days 00:02:30.811545,64,1.2913239351339856,0.6000000000000001,0.4,0.6,0.6,96,0.0004402215256751091,2,1,0.002993620086989373,COMPLETE
9,0.5370231287047111,2026-05-25 17:08:51.546772,2026-05-25 17:10:44.427995,0 days 00:01:52.881223,64,0.5054871548086214,0.5,0.2,0.30000000000000004,0.75,112,0.0009546094324387961,1,3,0.00034182789779257786,COMPLETE
10,0.5143544277489457,2026-05-25 17:10:44.429020,2026-05-25 17:13:48.206778,0 days 00:03:03.777758,32,0.5280382898477118,0.5,0.30000000000000004,0.30000000000000004,0.6,96,0.001389507724575145,1,3,0.00044673904186955945,COMPLETE
11,0.5295311601808094,2026-05-25 17:13:48.207928,2026-05-25 17:16:44.446564,0 days 00:02:56.238636,32,0.5111460771189937,0.5,0.30000000000000004,0.30000000000000004,0.6,96,0.0012320529151776147,1,3,0.0003866077596728798,COMPLETE
12,0.45768969394370485,2026-05-25 17:16:44.447565,2026-05-25 17:19:41.515915,0 days 00:02:57.068350,32,0.5294414669193024,0.5,0.30000000000000004,0.30000000000000004,0.7000000000000001,112,0.0011783111607523542,1,3,0.0011246029517767277,COMPLETE
13,0.57013708835255,2026-05-25 17:19:41.517436,2026-05-25 17:22:36.404634,0 days 00:02:54.887198,32,4.929612581414789,0.4,0.2,0.30000000000000004,0.5,80,0.0037459424459416737,1,3,0.0002442681707671261,COMPLETE
14,0.5553363858994775,2026-05-25 17:22:36.405693,2026-05-25 17:23:55.890976,0 days 00:01:19.485283,128,4.662027899191758,0.4,0.2,0.2,0.45000000000000007,32,0.004702372489393772,1,3,0.00021613876167612698,COMPLETE
