number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_gru,params_dropout_post_gru,params_dropout_pre_gru,params_factor,params_hidden_dim,params_learning_rate,params_n_layers,params_patience,params_weight_decay,state
0,0.8774278173243346,2026-05-25 13:52:38.390040,2026-05-25 13:58:31.503776,0 days 00:05:53.113736,32,3.3994812107955625,0.5,0.2,0.5,0.1,64,0.00010255552094216992,2,4,0.00013066739238053285,COMPLETE
1,0.873405181349565,2026-05-25 13:58:31.505106,2026-05-25 14:03:19.867699,0 days 00:04:48.362593,32,3.0489195547657553,0.4,0.4,0.2,0.4,48,0.0003654769917956456,1,2,0.0003823475224675188,COMPLETE
2,0.8746519997471542,2026-05-25 14:03:19.868834,2026-05-25 14:06:42.472089,0 days 00:03:22.603255,64,2.416590316244232,0.3,0.5,0.4,0.35,48,0.0001096524277832185,2,0,0.00013492834268013249,COMPLETE
3,0.8541891045236376,2026-05-25 14:06:42.473297,2026-05-25 14:08:31.632758,0 days 00:01:49.159461,128,2.9792217348362575,0.3,0.6,0.4,0.25,80,0.00016463795672118082,1,4,0.0021137059440645744,COMPLETE
4,0.8809315650547092,2026-05-25 14:08:31.633998,2026-05-25 14:11:58.699613,0 days 00:03:27.065615,64,0.9547826400522686,0.7,0.2,0.4,0.8,128,0.00012329223607243696,2,1,0.00012315571723666037,COMPLETE
5,0.0,2026-05-25 14:11:58.701029,2026-05-25 14:15:25.731545,0 days 00:03:27.030516,64,0.663556801920782,0.7,0.2,0.6,0.9,128,0.003268132041482868,2,0,0.00830886096612208,COMPLETE
6,0.8689711856124726,2026-05-25 14:15:25.732591,2026-05-25 14:18:52.854194,0 days 00:03:27.121603,64,0.8705183732961068,0.7,0.30000000000000004,0.2,0.8,128,0.001323006470927295,2,2,0.0007695216630009447,COMPLETE
7,0.8306391320382256,2026-05-25 14:18:52.855279,2026-05-25 14:20:43.245290,0 days 00:01:50.390011,128,1.228592041513194,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.65,96,5.82251919403596e-05,1,1,0.00036304464735524865,COMPLETE
8,0.8532036203110793,2026-05-25 14:20:43.246430,2026-05-25 14:24:10.351684,0 days 00:03:27.105254,64,1.2913239351339856,0.6000000000000001,0.4,0.6,0.6,96,0.0004402215256751091,2,1,0.002993620086989373,COMPLETE
9,0.8700908378476206,2026-05-25 14:24:10.352727,2026-05-25 14:27:03.998297,0 days 00:02:53.645570,64,0.5054871548086214,0.5,0.2,0.30000000000000004,0.75,112,0.0009546094324387961,1,3,0.00034182789779257786,COMPLETE
10,0.8780626648692877,2026-05-25 14:27:03.999328,2026-05-25 14:32:47.270078,0 days 00:05:43.270750,32,2.0944068231246855,0.6000000000000001,0.30000000000000004,0.5,0.55,32,0.00023014494150556348,2,1,0.00011335431394085084,COMPLETE
11,0.8777781313874607,2026-05-25 14:32:47.271302,2026-05-25 14:38:31.114412,0 days 00:05:43.843110,32,2.009687604462305,0.6000000000000001,0.30000000000000004,0.5,0.55,32,0.00023244420702849903,2,1,0.0001048399596698456,COMPLETE
12,0.8454947293428503,2026-05-25 14:38:31.115672,2026-05-25 14:44:15.642443,0 days 00:05:44.526771,32,1.5746173370924064,0.7,0.30000000000000004,0.5,0.9,32,5.290318752144175e-05,2,2,0.00020481357813965549,COMPLETE
13,0.8716998170759741,2026-05-25 14:44:15.643471,2026-05-25 14:49:58.687903,0 days 00:05:43.044432,32,4.929612581414789,0.6000000000000001,0.2,0.4,0.7000000000000001,80,0.0002429152260771112,2,1,0.0008030203458999818,COMPLETE
14,0.8783468375990722,2026-05-25 14:49:58.688885,2026-05-25 14:52:15.424782,0 days 00:02:16.735897,128,0.8596794144518495,0.5,0.30000000000000004,0.5,0.45000000000000007,112,0.0007297505929095251,2,0,0.00022186932802000227,COMPLETE
