number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_gru,params_dropout_post_gru,params_dropout_pre_gru,params_factor,params_hidden_dim,params_learning_rate,params_n_layers,params_patience,params_weight_decay,state
0,0.6888618183513919,2026-05-25 14:17:55.205575,2026-05-25 14:21:42.656471,0 days 00:03:47.450896,32,3.3994812107955625,0.5,0.2,0.5,0.1,64,0.00010255552094216992,2,4,0.00013066739238053285,COMPLETE
1,0.71599733867908,2026-05-25 14:21:42.657914,2026-05-25 14:24:29.272743,0 days 00:02:46.614829,32,3.0489195547657553,0.4,0.4,0.2,0.4,48,0.0003654769917956456,1,2,0.0003823475224675188,COMPLETE
2,0.6837461044840628,2026-05-25 14:24:29.274000,2026-05-25 14:26:47.543082,0 days 00:02:18.269082,64,2.416590316244232,0.3,0.5,0.4,0.35,48,0.0001096524277832185,2,0,0.00013492834268013249,COMPLETE
3,0.6673888266878156,2026-05-25 14:26:47.544098,2026-05-25 14:28:04.889773,0 days 00:01:17.345675,128,2.9792217348362575,0.3,0.6,0.4,0.25,80,0.00016463795672118082,1,4,0.0021137059440645744,COMPLETE
4,0.6933069977205834,2026-05-25 14:28:04.891207,2026-05-25 14:30:33.188070,0 days 00:02:28.296863,64,0.9547826400522686,0.7,0.2,0.4,0.8,128,0.00012329223607243696,2,1,0.00012315571723666037,COMPLETE
5,0.6686330048876518,2026-05-25 14:30:33.189188,2026-05-25 14:33:23.557190,0 days 00:02:50.368002,32,0.5338857085259134,0.5,0.4,0.2,0.65,32,0.002010804001006617,1,2,0.00830886096612208,COMPLETE
6,0.7197343539745443,2026-05-25 14:33:23.558467,2026-05-25 14:36:12.673015,0 days 00:02:49.114548,32,4.982175626258337,0.4,0.4,0.2,0.5,112,0.000834076117670142,1,2,0.0006589837388158311,COMPLETE
7,0.7086418931331291,2026-05-25 14:36:12.674091,2026-05-25 14:37:27.206873,0 days 00:01:14.532782,128,1.5698807618409583,0.7,0.30000000000000004,0.2,0.55,128,0.0018300881572762822,1,3,0.0010676916501410137,COMPLETE
8,0.6771234455126828,2026-05-25 14:37:27.208122,2026-05-25 14:40:15.878360,0 days 00:02:48.670238,32,4.887813808183246,0.4,0.6,0.6,0.85,96,0.004546930437040681,1,0,0.002993620086989373,COMPLETE
9,0.7139705973358491,2026-05-25 14:40:15.879360,2026-05-25 14:44:01.625379,0 days 00:03:45.746019,32,1.2328770938235076,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.65,96,0.0005598234317643986,2,3,0.00044615014214081326,COMPLETE
10,0.7105833381888467,2026-05-25 14:44:01.626365,2026-05-25 14:45:48.944951,0 days 00:01:47.318586,64,0.7498594480949886,0.4,0.5,0.30000000000000004,0.5,112,0.0007571502672315567,1,1,0.0004820589937370416,COMPLETE
11,0.7102911620692309,2026-05-25 14:45:48.946285,2026-05-25 14:48:33.912403,0 days 00:02:44.966118,32,4.467971956930272,0.4,0.4,0.2,0.4,32,0.0002815808029440139,1,2,0.0003866077596728795,COMPLETE
12,0.7159526082072556,2026-05-25 14:48:33.913754,2026-05-25 14:51:19.421972,0 days 00:02:45.508218,32,2.1458551219519233,0.4,0.30000000000000004,0.30000000000000004,0.30000000000000004,64,0.0009676536216777877,1,2,0.0008891715826640409,COMPLETE
13,0.7204150939120113,2026-05-25 14:51:19.425166,2026-05-25 14:54:06.530367,0 days 00:02:47.105201,32,3.7386316393920267,0.3,0.5,0.2,0.5,96,0.00036977305903927705,1,1,0.00026279705242435576,COMPLETE
14,0.7104792742138788,2026-05-25 14:54:06.531643,2026-05-25 14:56:54.247597,0 days 00:02:47.715954,32,3.9392397692528234,0.3,0.5,0.30000000000000004,0.7000000000000001,96,0.00023443950034633952,1,1,0.00025455605418178674,COMPLETE
