number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_lstm,params_dropout_post_lstm,params_dropout_pre_lstm,params_factor,params_hidden_dim,params_learning_rate,params_n_layers,params_patience,params_weight_decay,state
0,0.8778089144570635,2026-05-26 00:29:04.738395,2026-05-26 00:35:20.092136,0 days 00:06:15.353741,32,3.3994812107955625,0.5,0.2,0.5,0.1,64,0.00010255552094216992,2,5,0.00013066739238053285,COMPLETE
1,0.8736867134910501,2026-05-26 00:35:20.093507,2026-05-26 00:40:24.456732,0 days 00:05:04.363225,32,3.0489195547657553,0.4,0.4,0.2,0.4,48,0.0003654769917956456,1,3,0.0003823475224675188,COMPLETE
2,0.8707256398902274,2026-05-26 00:40:24.457930,2026-05-26 00:44:01.465833,0 days 00:03:37.007903,64,2.416590316244232,0.3,0.5,0.4,0.35,48,0.0001096524277832185,2,2,0.00013492834268013249,COMPLETE
3,0.8027008784542922,2026-05-26 00:44:01.466867,2026-05-26 00:45:57.868425,0 days 00:01:56.401558,128,2.9792217348362575,0.3,0.6,0.4,0.25,80,0.00016463795672118082,1,5,0.0021137059440645744,COMPLETE
4,0.8777669835896795,2026-05-26 00:45:57.869427,2026-05-26 00:49:40.393171,0 days 00:03:42.523744,64,0.9547826400522686,0.7,0.2,0.4,0.8,128,0.00012329223607243696,2,3,0.00012315571723666037,COMPLETE
5,0.0,2026-05-26 00:49:40.394166,2026-05-26 00:55:54.358757,0 days 00:06:13.964591,32,4.906179135299493,0.6000000000000001,0.2,0.6,0.1,80,0.003268132041482868,2,5,0.00830886096612208,COMPLETE
6,0.7876750415540954,2026-05-26 00:55:54.359965,2026-05-26 01:02:06.674089,0 days 00:06:12.314124,32,0.5312978870500903,0.5,0.30000000000000004,0.6,0.7000000000000001,128,5.2712818944370345e-05,2,5,0.0007695216630009447,COMPLETE
7,0.8715088056974647,2026-05-26 01:02:06.675170,2026-05-26 01:04:02.388912,0 days 00:01:55.713742,128,1.5698807618409583,0.5,0.30000000000000004,0.2,0.55,32,0.0013271671049466566,1,4,0.0003601748732333323,COMPLETE
8,0.0,2026-05-26 01:04:02.390026,2026-05-26 01:10:17.414246,0 days 00:06:15.024220,32,4.8790411808839504,0.7,0.4,0.5,0.1,80,0.0005075835673047475,2,4,0.002993620086989373,COMPLETE
9,0.8457415343649888,2026-05-26 01:10:17.415655,2026-05-26 01:15:34.971882,0 days 00:05:17.556227,32,1.383879586680754,0.4,0.2,0.5,0.6,112,5.3841981257891275e-05,1,4,0.0002964895652574559,COMPLETE
10,0.8672110140203468,2026-05-26 01:15:34.973117,2026-05-26 01:19:19.548873,0 days 00:03:44.575756,64,2.2018685216476275,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.25,64,0.0003912789968855898,2,2,0.000974651974309243,COMPLETE
11,0.8778778687032865,2026-05-26 01:19:19.549902,2026-05-26 01:23:02.738556,0 days 00:03:43.188654,64,0.8784570615105046,0.7,0.2,0.4,0.9,112,0.00013909445000958519,2,3,0.00010514545637541948,COMPLETE
12,0.8781721270001205,2026-05-26 01:23:02.739568,2026-05-26 01:26:43.710522,0 days 00:03:40.970954,64,0.8001160655312646,0.6000000000000001,0.2,0.5,0.9,96,0.00021959533800378005,2,3,0.00011000158484196811,COMPLETE
13,0.8714998073980927,2026-05-26 01:26:43.711710,2026-05-26 01:30:24.139984,0 days 00:03:40.428274,64,0.6827238001307122,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.9,112,0.00023438460574705836,2,3,0.00025061564933235886,COMPLETE
14,0.8740864373698845,2026-05-26 01:30:24.140947,2026-05-26 01:34:02.644921,0 days 00:03:38.503974,64,0.9873467792192387,0.7,0.5,0.5,0.9,96,0.0008039424709510238,2,3,0.00010335585008593389,COMPLETE
