number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_lstm,params_dropout_post_lstm,params_dropout_pre_lstm,params_factor,params_hidden_dim,params_learning_rate,params_n_layers,params_patience,params_weight_decay,state
0,0.8778089144570635,2026-05-30 21:12:41.655728,2026-05-30 21:18:38.707771,0 days 00:05:57.052043,32,3.3994812107955625,0.5,0.2,0.5,0.1,64,0.00010255552094216992,2,5,0.00013066739238053285,COMPLETE
1,0.8736867134910501,2026-05-30 21:18:38.708951,2026-05-30 21:23:32.235225,0 days 00:04:53.526274,32,3.0489195547657553,0.4,0.4,0.2,0.4,48,0.0003654769917956456,1,3,0.0003823475224675188,COMPLETE
2,0.8707256398902274,2026-05-30 21:23:32.236278,2026-05-30 21:27:01.401231,0 days 00:03:29.164953,64,2.416590316244232,0.3,0.5,0.4,0.35,48,0.0001096524277832185,2,2,0.00013492834268013249,COMPLETE
3,0.8027008784542922,2026-05-30 21:27:01.402241,2026-05-30 21:28:53.689431,0 days 00:01:52.287190,128,2.9792217348362575,0.3,0.6,0.4,0.25,80,0.00016463795672118082,1,5,0.0021137059440645744,COMPLETE
4,0.8777669835896795,2026-05-30 21:28:53.690486,2026-05-30 21:32:27.896045,0 days 00:03:34.205559,64,0.9547826400522686,0.7,0.2,0.4,0.8,128,0.00012329223607243696,2,3,0.00012315571723666037,COMPLETE
5,0.0,2026-05-30 21:32:27.897225,2026-05-30 21:38:22.794851,0 days 00:05:54.897626,32,4.906179135299493,0.6000000000000001,0.2,0.6,0.1,80,0.003268132041482868,2,5,0.00830886096612208,COMPLETE
6,0.7876750415540954,2026-05-30 21:38:22.795924,2026-05-30 21:44:23.170090,0 days 00:06:00.374166,32,0.5312978870500903,0.5,0.30000000000000004,0.6,0.7000000000000001,128,5.2712818944370345e-05,2,5,0.0007695216630009447,COMPLETE
7,0.8715088056974647,2026-05-30 21:44:23.171166,2026-05-30 21:46:14.893216,0 days 00:01:51.722050,128,1.5698807618409583,0.5,0.30000000000000004,0.2,0.55,32,0.0013271671049466566,1,4,0.0003601748732333323,COMPLETE
8,0.0,2026-05-30 21:46:14.894228,2026-05-30 21:52:10.481431,0 days 00:05:55.587203,32,4.8790411808839504,0.7,0.4,0.5,0.1,80,0.0005075835673047475,2,4,0.002993620086989373,COMPLETE
9,0.8457415343649888,2026-05-30 21:52:10.482514,2026-05-30 21:57:06.848526,0 days 00:04:56.366012,32,1.383879586680754,0.4,0.2,0.5,0.6,112,5.3841981257891275e-05,1,4,0.0002964895652574559,COMPLETE
10,0.8672110140203468,2026-05-30 21:57:06.849556,2026-05-30 22:00:35.620435,0 days 00:03:28.770879,64,2.2018685216476275,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.25,64,0.0003912789968855898,2,2,0.000974651974309243,COMPLETE
11,0.8778778687032865,2026-05-30 22:00:35.621699,2026-05-30 22:04:09.051616,0 days 00:03:33.429917,64,0.8784570615105046,0.7,0.2,0.4,0.9,112,0.00013909445000958519,2,3,0.00010514545637541948,COMPLETE
12,0.8781721270001205,2026-05-30 22:04:09.052568,2026-05-30 22:07:41.246609,0 days 00:03:32.194041,64,0.8001160655312646,0.6000000000000001,0.2,0.5,0.9,96,0.00021959533800378005,2,3,0.00011000158484196811,COMPLETE
13,0.8714998073980927,2026-05-30 22:07:41.247610,2026-05-30 22:11:14.343435,0 days 00:03:33.095825,64,0.6827238001307122,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.9,112,0.00023438460574705836,2,3,0.00025061564933235886,COMPLETE
14,0.8740864373698845,2026-05-30 22:11:14.344649,2026-05-30 22:14:46.785841,0 days 00:03:32.441192,64,0.9873467792192387,0.7,0.5,0.5,0.9,96,0.0008039424709510238,2,3,0.00010335585008593389,COMPLETE
