epoque,train_loss_moy,train_loss_std,train_accuracy_moy,train_accuracy_std,train_precision_moy,train_precision_std,train_recall_moy,train_recall_std,train_f1_moy,train_f1_std,val_loss_moy,val_loss_std,val_accuracy_moy,val_accuracy_std,val_precision_moy,val_precision_std,val_recall_moy,val_recall_std,val_f1_moy,val_f1_std,val_auc_moy,val_auc_std
1,0.6047803542017937,0.002636963684631079,0.6658488303637916,0.006207247970023564,0.6878917505356689,0.019827493535777785,0.4358211499601984,0.013501194851864132,0.5332015919670525,0.007528040598109499,0.5383962720394135,0.006762660486807942,0.7289343527180634,0.007340824487475433,0.7308731038001918,0.028140034566518392,0.6078450053091563,0.03309343840426807,0.662341504331117,0.010792385854361939,0.8041328976519724,0.006164024066140028
2,0.5364732624292373,0.0021680684240062893,0.7325639599997278,0.0012528574443799892,0.7313014921779322,0.002076878667113679,0.6157273732982264,0.00573322343995645,0.6685351407724932,0.002935656785434855,0.5168635621070863,0.005315653513115451,0.7467082350684976,0.006950900366142236,0.73994057709323,0.008021997789771229,0.6504743608592666,0.019477046117503637,0.6921576284467421,0.011631606611740893,0.8229956375459908,0.00652221320215711
3,0.5242040159225463,0.001986193172131476,0.7385470098987961,0.002531452790243519,0.73623451875971,0.0035305403517849904,0.6282431326924254,0.008438986568543546,0.6779249848934239,0.004698771725983164,0.511758526611328,0.008857317882814492,0.7483099868827019,0.008086722414726591,0.7352731078659944,0.025671131985166396,0.6688783468104222,0.03977470310391432,0.6990477709736249,0.015256964890374211,0.8271009348408173,0.006348113971878869
4,0.5172662563085556,0.002546586559094921,0.7444049166703034,0.0015930116359618176,0.7402331326504629,0.0014079570151976574,0.641701696160676,0.005806262277195715,0.6874384402172045,0.003214048097085421,0.5057714593887329,0.003966641455090294,0.7541680982048794,0.005325333877123223,0.7593789614166144,0.017191891881234884,0.6448742301723434,0.04452408482474484,0.6960410229741394,0.018377784592416298,0.8330452379481018,0.004093200602691189
5,0.5095880907773971,0.001860667113540532,0.7493991930562324,0.0020058935117285574,0.7463571117612608,0.002161040279299923,0.6481882799583614,0.00462337756164844,0.6938096301877812,0.0030934852115197036,0.5002685109615326,0.007046202877948018,0.7583737308089795,0.006733320504392488,0.7574693718387804,0.018188067066110404,0.6616786081842686,0.036857238141726485,0.7053059065117391,0.015927271718043215,0.836061440368329,0.00448307724714428
6,0.5077927706599237,0.0013551746042368856,0.7501501693246764,0.001721258936003831,0.7452354440120812,0.0040497383690446575,0.6528459412569142,0.00459846266058637,0.6959667184151563,0.00217174399040647,0.4986909554958344,0.009766176151171497,0.7552691490301785,0.010467337068989838,0.7602170340515517,0.035521867611107684,0.6515083557951482,0.052833807500238736,0.698947055792947,0.02169367868967794,0.8370970527406506,0.007037753341204415
7,0.502802502477169,0.0029286586282511085,0.7545811923587185,0.0025456536838907515,0.7515037402076433,0.0035541818219284502,0.6569893331700447,0.004121668312852864,0.7010686363144862,0.0032739852585413004,0.4939348165512086,0.006610674257166762,0.7590741180606956,0.007159208702191694,0.7592106595646413,0.0191640149442062,0.6611072449563015,0.0345326001004533,0.7057990036078909,0.01532143701549143,0.8396893985862232,0.005879306921579535
8,0.49761009485721586,0.004261384853661409,0.7551068635263093,0.002580623932022949,0.7515060970226244,0.00537290689079216,0.6588466189047415,0.003464774732596382,0.7021143951121139,0.002502616135531333,0.4901237347602844,0.0026690073259349927,0.7608268347452343,0.007131647395545399,0.7414098846097277,0.02918812872007724,0.7022505595033898,0.04464355647019847,0.7195375179502178,0.01383124847581087,0.842817968408174,0.004868912225718713
9,0.4937637350678443,0.003971391434054783,0.7561707794741331,0.002424785555716859,0.7512443757238602,0.004562206782025289,0.6629042434633519,0.0033748055966689823,0.7043028754846153,0.0025950452248672475,0.48795102424621584,0.0035030565215596224,0.7619780860276648,0.0063205306902781415,0.7860450871881446,0.004439846079139644,0.6273856407743199,0.017395977613441745,0.6976869351947748,0.011286484347422413,0.8439508047446861,0.003427720855626129
10,0.49138104037046426,0.004061627781585217,0.7584738695598807,0.003569426381130552,0.7553357466838456,0.004687285930783071,0.6635613740738473,0.004172004869565616,0.7064797002833674,0.0043437989580669654,0.4821416336536407,0.006023085431599119,0.7627793254337074,0.006597800595565919,0.7738924583060287,0.027658158547233504,0.6521781262762395,0.05148162582580143,0.7055591602882976,0.022029743883027097,0.8464969367226199,0.004315762183930394
