number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_lstm,params_dropout_post_lstm,params_dropout_pre_lstm,params_factor,params_hidden_dim,params_learning_rate,params_n_layers,params_patience,params_weight_decay,state
0,0.6882505941087074,2026-05-25 23:23:20.136706,2026-05-25 23:27:14.050759,0 days 00:03:53.914053,32,3.3994812107955625,0.5,0.2,0.5,0.1,64,0.00010255552094216992,2,5,0.00013066739238053285,COMPLETE
1,0.715557016098867,2026-05-25 23:27:14.052014,2026-05-25 23:30:08.314606,0 days 00:02:54.262592,32,3.0489195547657553,0.4,0.4,0.2,0.4,48,0.0003654769917956456,1,3,0.0003823475224675188,COMPLETE
2,0.6810969067145208,2026-05-25 23:30:08.315700,2026-05-25 23:32:33.947758,0 days 00:02:25.632058,64,2.416590316244232,0.3,0.5,0.4,0.35,48,0.0001096524277832185,2,2,0.00013492834268013249,COMPLETE
3,0.6552313730993153,2026-05-25 23:32:33.948980,2026-05-25 23:33:50.843119,0 days 00:01:16.894139,128,2.9792217348362575,0.3,0.6,0.4,0.25,80,0.00016463795672118082,1,5,0.0021137059440645744,COMPLETE
4,0.6959609373077367,2026-05-25 23:33:50.844066,2026-05-25 23:36:19.562498,0 days 00:02:28.718432,64,0.9547826400522686,0.7,0.2,0.4,0.8,128,0.00012329223607243696,2,3,0.00012315571723666037,COMPLETE
5,0.6492012815033779,2026-05-25 23:36:19.563700,2026-05-25 23:39:10.621194,0 days 00:02:51.057494,32,0.5338857085259134,0.5,0.4,0.2,0.65,32,0.002010804001006617,1,3,0.00830886096612208,COMPLETE
6,0.7130423270907128,2026-05-25 23:39:10.622174,2026-05-25 23:42:03.212827,0 days 00:02:52.590653,32,4.982175626258337,0.4,0.4,0.2,0.5,112,0.000834076117670142,1,2,0.0006589837388158311,COMPLETE
7,0.70767426239173,2026-05-25 23:42:03.213951,2026-05-25 23:43:19.528198,0 days 00:01:16.314247,128,1.5698807618409583,0.7,0.30000000000000004,0.2,0.45000000000000007,32,0.0004960281433134101,1,4,0.0005234878117183911,COMPLETE
8,0.683636198085851,2026-05-25 23:43:19.529137,2026-05-25 23:46:13.897247,0 days 00:02:54.368110,32,1.413252894407453,0.5,0.6,0.6,0.85,80,0.004116872913975088,1,4,0.0016715497814415725,COMPLETE
9,0.7195375179502178,2026-05-25 23:46:13.898219,2026-05-25 23:50:10.408578,0 days 00:03:56.510359,32,4.720945016216621,0.4,0.30000000000000004,0.30000000000000004,0.65,96,0.0003945173598476267,2,3,0.00034182789779257786,COMPLETE
10,0.16837679227437946,2026-05-25 23:50:10.409562,2026-05-25 23:52:40.029500,0 days 00:02:29.619938,64,4.330118707926978,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.65,96,5.0604708342966224e-05,2,2,0.0051157217815787775,COMPLETE
11,0.7152824077199911,2026-05-25 23:52:40.030490,2026-05-25 23:56:29.216975,0 days 00:03:49.186485,32,2.1828549530925945,0.4,0.30000000000000004,0.30000000000000004,0.6,64,0.00043985319207524403,2,3,0.000370347072267621,COMPLETE
12,0.7174065522361349,2026-05-25 23:56:29.217947,2026-05-26 00:00:23.649972,0 days 00:03:54.432025,32,3.5839165220797375,0.4,0.5,0.30000000000000004,0.35,96,0.0002883158417948169,2,3,0.0003191840457681811,COMPLETE
13,0.7092270130583628,2026-05-26 00:00:23.651152,2026-05-26 00:04:16.490844,0 days 00:03:52.839692,32,4.929612581414789,0.4,0.5,0.30000000000000004,0.25,112,0.0002520527888806151,2,4,0.0002442681707671261,COMPLETE
14,0.6995548775026064,2026-05-26 00:04:16.491868,2026-05-26 00:08:06.901947,0 days 00:03:50.410079,32,2.219951749211385,0.3,0.5,0.30000000000000004,0.75,96,0.0007921624736664483,2,3,0.001082870102385771,COMPLETE
