epoque,train_loss_moy,train_loss_std,train_accuracy_moy,train_accuracy_std,train_precision_moy,train_precision_std,train_recall_moy,train_recall_std,train_f1_moy,train_f1_std,val_loss_moy,val_loss_std,val_accuracy_moy,val_accuracy_std,val_precision_moy,val_precision_std,val_recall_moy,val_recall_std,val_f1_moy,val_f1_std,val_auc_moy,val_auc_std
1,0.619644983446598,0.012560225302725136,0.6399638847241229,0.014606768489871524,0.6435648530412109,0.02797517877045831,0.4000181862715081,0.01960081977418226,0.4931647437383524,0.021146461978739487,0.4670621902704239,0.019812967751947626,0.7871626964852787,0.013733425181099022,0.7980768874524495,0.027896227535462573,0.6897926978681695,0.018752560388443817,0.7395903658466427,0.014899985676699454,0.8603060706776684,0.013149798697188719
2,0.3519070947438479,0.014591167134068281,0.8526385374796158,0.007717724148244741,0.8572444561515363,0.009410153360850698,0.796177074275917,0.009134347770840327,0.8255806111929042,0.009171579327737111,0.33276628237962724,0.008594639645802185,0.8593594647290084,0.00661590690104115,0.8681481739163386,0.01602810983527155,0.801005243812791,0.011361016866566088,0.8330656379592846,0.007077283122528595,0.9322285538755952,0.0033254812433400915
3,0.1725423014141619,0.006382326587455724,0.9378411407117291,0.0019889598365220224,0.9395728173213526,0.001130604657002308,0.917076341518176,0.003855456765075585,0.9281855785225593,0.002408720558369314,0.316602579510212,0.020856494258107833,0.8810888673435686,0.005424474850551037,0.8739960113667473,0.01791755472629323,0.8522077922077923,0.02004212127154327,0.8625817027245478,0.006251163766011782,0.9475083438932728,0.003730013507339939
4,0.10619686328954996,0.004446477151228948,0.9661793876712528,0.0022175256755055978,0.9641552369382588,0.002530222196418905,0.9584238891270183,0.0028792613973405976,0.9612801002065223,0.0025438860208812264,0.3294746973395347,0.026872866049994146,0.8879982176017467,0.00705230440486391,0.8888810294624536,0.014392337911514076,0.8509548313321897,0.006357213102492423,0.8694302960746813,0.007372661488105339,0.9510022566648667,0.005046980284638853
5,0.07337682470567523,0.003981855922749341,0.977394493967161,0.001349923824454375,0.9757750725781644,0.0016764748324027115,0.9725397179188864,0.0017320762160383794,0.9741541772721419,0.0015451595135412214,0.35445759290903806,0.02571241813436784,0.89105268666454,0.005720854337320667,0.894540023211774,0.012687142112192872,0.8519830760434534,0.009943571544921643,0.8726423872275129,0.0063033933092841955,0.9522869965056164,0.004793092537491957
6,0.052152031957544386,0.0017134862547214637,0.9843038331595423,0.0008653285652682795,0.9831051446631396,0.0008504717320496549,0.9810264405119099,0.0012593131834205628,0.9820645187348414,0.0009925971330943153,0.3633768291845918,0.030937922306620434,0.89375616616414,0.006805050819226192,0.8892415559698312,0.015077493574627442,0.8655843175692233,0.0019816692683409815,0.8771757552954567,0.006658339539445326,0.954032553127651,0.005632606298500046
7,0.042561809229198846,0.0016789061081142812,0.9877334518829717,0.0006656618098519396,0.9864158703588476,0.0009197464059977909,0.9855697834384504,0.000847616863813527,0.9859924376569766,0.00075978190595824,0.37993914892002933,0.017323862989008135,0.8940064915896999,0.0057137827930645365,0.8951568117450414,0.00636928088445416,0.8586124969370253,0.010096099877575853,0.8764758083118499,0.0069613577814538665,0.954228633571633,0.005067599418597304
8,0.03545001331646926,0.0024358303723881715,0.9893856892892288,0.001051980895483168,0.9879961416948019,0.001209918674667103,0.9877700120425367,0.0013574218309213677,0.9878828531575653,0.0012022414157722761,0.3843013103306293,0.01903806753586987,0.8956086946439685,0.00516043044561561,0.8955114077725035,0.012747884063557405,0.862611778158948,0.008726579499352316,0.8786517742586412,0.00532854709920782,0.9546385243799737,0.00466625610386799
9,0.03139248846736737,0.0011158787746484524,0.9907875574048555,0.0005029695445439843,0.9894846610476756,0.00043567207694663386,0.9894845181964771,0.0010246822997018164,0.9894843008729106,0.0005778432837526947,0.3987275276832283,0.017929903550041097,0.8941067170217153,0.005536863440417284,0.8971906095178517,0.011351415505744625,0.8566692477333987,0.013845001822064334,0.8763268825419971,0.006721760865883035,0.9543674666872635,0.004417520818240843
10,0.028982688316470013,0.002613900158971817,0.9916011761306036,0.001027002778020226,0.990847805642775,0.0010453089397331275,0.9899702651399179,0.0013953502252794735,0.9904087005388433,0.001175346200700889,0.4071426722817123,0.016019777754269788,0.8954585194437463,0.005686117830785739,0.8953207584300138,0.009491293418777668,0.8622703585722455,0.00905097434902635,0.878435270642014,0.006503892771169176,0.9538641738534146,0.004438986971336185
