number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_post_rnn,params_dropout_pre_rnn,params_dropout_rnn,params_factor,params_hidden_dim,params_learning_rate,params_n_layers,params_patience,params_weight_decay,state
0,0.8771694059949284,2026-05-30 22:29:35.738608,2026-05-30 22:35:17.095816,0 days 00:05:41.357208,32,3.3994812107955625,0.2,0.5,0.5,0.1,64,0.00018408992080552527,2,4,0.00013066739238053285,COMPLETE
1,0.8728249020431736,2026-05-30 22:35:17.097115,2026-05-30 22:40:02.341045,0 days 00:04:45.243930,32,3.0489195547657553,0.4,0.2,0.4,0.4,48,0.0005418282319533242,1,2,0.0003823475224675188,COMPLETE
2,0.8776398927908537,2026-05-30 22:40:02.342128,2026-05-30 22:43:24.097798,0 days 00:03:21.755670,64,2.416590316244232,0.5,0.4,0.3,0.35,48,0.00019485671251272575,2,0,0.00013492834268013249,COMPLETE
3,0.85106265805242,2026-05-30 22:43:24.099146,2026-05-30 22:45:13.340200,0 days 00:01:49.241054,128,2.9792217348362575,0.6,0.4,0.3,0.25,80,0.00027520696850790545,1,4,0.0021137059440645744,COMPLETE
4,0.878253885872881,2026-05-30 22:45:13.341271,2026-05-30 22:48:35.551415,0 days 00:03:22.210144,64,0.9547826400522686,0.2,0.4,0.7,0.8,128,0.000215262809722153,2,1,0.00012315571723666037,COMPLETE
5,0.37695267065343757,2026-05-30 22:48:35.552444,2026-05-30 22:51:56.605545,0 days 00:03:21.053101,64,0.663556801920782,0.2,0.6,0.7,0.9,128,0.0034841373014948248,2,0,0.00830886096612208,COMPLETE
6,0.8614124285573374,2026-05-30 22:51:56.606842,2026-05-30 22:55:19.266750,0 days 00:03:22.659908,64,0.8705183732961068,0.30000000000000004,0.2,0.7,0.8,128,0.0016161085862560567,2,2,0.0007695216630009447,COMPLETE
7,0.8587950066506467,2026-05-30 22:55:19.267969,2026-05-30 22:57:08.941148,0 days 00:01:49.673179,128,1.228592041513194,0.30000000000000004,0.30000000000000004,0.6000000000000001,0.65,96,0.00011381138893203305,1,1,0.00036304464735524865,COMPLETE
8,0.8440361320063745,2026-05-30 22:57:08.942143,2026-05-30 23:00:31.968198,0 days 00:03:23.026055,64,1.2913239351339856,0.4,0.6,0.6000000000000001,0.6,96,0.0006346138712978902,2,1,0.002993620086989373,COMPLETE
9,0.863069330562093,2026-05-30 23:00:31.969269,2026-05-30 23:03:21.841715,0 days 00:02:49.872446,64,0.5054871548086214,0.2,0.30000000000000004,0.5,0.75,112,0.0012248071740693068,1,3,0.00034182789779257786,COMPLETE
10,0.8786466549062961,2026-05-30 23:03:21.842776,2026-05-30 23:08:59.458293,0 days 00:05:37.615517,32,2.0944068231246855,0.30000000000000004,0.5,0.6000000000000001,0.55,32,0.00036579288619445775,2,1,0.00011335431394085084,COMPLETE
11,0.8786517742586412,2026-05-30 23:08:59.459523,2026-05-30 23:14:36.215166,0 days 00:05:36.755643,32,2.009687604462305,0.30000000000000004,0.5,0.6000000000000001,0.55,32,0.00036889496808163475,2,1,0.0001048399596698456,COMPLETE
12,0.8750799872623982,2026-05-30 23:14:36.216244,2026-05-30 23:20:12.910847,0 days 00:05:36.694603,32,1.9106930876527914,0.30000000000000004,0.5,0.6000000000000001,0.55,32,0.0004412575130718346,2,2,0.00025277099724535745,COMPLETE
13,0.8724793571552208,2026-05-30 23:20:12.911925,2026-05-30 23:25:49.544145,0 days 00:05:36.632220,32,4.929612581414789,0.30000000000000004,0.5,0.5,0.45000000000000007,32,0.001069990357405286,2,1,0.0008407368934197927,COMPLETE
14,0.8783548372258201,2026-05-30 23:25:49.545112,2026-05-30 23:31:29.131306,0 days 00:05:39.586194,32,1.8668335840203871,0.5,0.5,0.6000000000000001,0.5,48,0.00035339616672509105,2,0,0.00010180565724985879,COMPLETE
