number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_post_rnn,params_dropout_pre_rnn,params_dropout_rnn,params_factor,params_hidden_dim,params_learning_rate,params_n_layers,params_patience,params_weight_decay,state
0,0.8771694059949284,2026-05-27 23:08:17.576311,2026-05-27 23:14:05.856799,0 days 00:05:48.280488,32,3.3994812107955625,0.2,0.5,0.5,0.1,64,0.00018408992080552527,2,4,0.00013066739238053285,COMPLETE
1,0.8728249020431736,2026-05-27 23:14:05.858082,2026-05-27 23:18:53.687659,0 days 00:04:47.829577,32,3.0489195547657553,0.4,0.2,0.4,0.4,48,0.0005418282319533242,1,2,0.0003823475224675188,COMPLETE
2,0.8776398927908537,2026-05-27 23:18:53.688740,2026-05-27 23:22:18.439138,0 days 00:03:24.750398,64,2.416590316244232,0.5,0.4,0.3,0.35,48,0.00019485671251272575,2,0,0.00013492834268013249,COMPLETE
3,0.85106265805242,2026-05-27 23:22:18.440130,2026-05-27 23:24:08.352193,0 days 00:01:49.912063,128,2.9792217348362575,0.6,0.4,0.3,0.25,80,0.00027520696850790545,1,4,0.0021137059440645744,COMPLETE
4,0.878253885872881,2026-05-27 23:24:08.353383,2026-05-27 23:27:32.212314,0 days 00:03:23.858931,64,0.9547826400522686,0.2,0.4,0.7,0.8,128,0.000215262809722153,2,1,0.00012315571723666037,COMPLETE
5,0.37695267065343757,2026-05-27 23:27:32.213732,2026-05-27 23:30:55.816756,0 days 00:03:23.603024,64,0.663556801920782,0.2,0.6,0.7,0.9,128,0.0034841373014948248,2,0,0.00830886096612208,COMPLETE
6,0.8614124285573374,2026-05-27 23:30:55.817834,2026-05-27 23:34:20.065527,0 days 00:03:24.247693,64,0.8705183732961068,0.30000000000000004,0.2,0.7,0.8,128,0.0016161085862560567,2,2,0.0007695216630009447,COMPLETE
7,0.8587950066506467,2026-05-27 23:34:20.066565,2026-05-27 23:36:10.655091,0 days 00:01:50.588526,128,1.228592041513194,0.30000000000000004,0.30000000000000004,0.6000000000000001,0.65,96,0.00011381138893203305,1,1,0.00036304464735524865,COMPLETE
8,0.8440361320063745,2026-05-27 23:36:10.656110,2026-05-27 23:39:36.410196,0 days 00:03:25.754086,64,1.2913239351339856,0.4,0.6,0.6000000000000001,0.6,96,0.0006346138712978902,2,1,0.002993620086989373,COMPLETE
9,0.863069330562093,2026-05-27 23:39:36.411159,2026-05-27 23:42:28.000357,0 days 00:02:51.589198,64,0.5054871548086214,0.2,0.30000000000000004,0.5,0.75,112,0.0012248071740693068,1,3,0.00034182789779257786,COMPLETE
10,0.8786466549062961,2026-05-27 23:42:28.001333,2026-05-27 23:48:10.712176,0 days 00:05:42.710843,32,2.0944068231246855,0.30000000000000004,0.5,0.6000000000000001,0.55,32,0.00036579288619445775,2,1,0.00011335431394085084,COMPLETE
11,0.8786517742586412,2026-05-27 23:48:10.713296,2026-05-27 23:53:56.258943,0 days 00:05:45.545647,32,2.009687604462305,0.30000000000000004,0.5,0.6000000000000001,0.55,32,0.00036889496808163475,2,1,0.0001048399596698456,COMPLETE
12,0.8750799872623982,2026-05-27 23:53:56.259991,2026-05-27 23:59:39.165286,0 days 00:05:42.905295,32,1.9106930876527914,0.30000000000000004,0.5,0.6000000000000001,0.55,32,0.0004412575130718346,2,2,0.00025277099724535745,COMPLETE
13,0.8724793571552208,2026-05-27 23:59:39.166292,2026-05-28 00:05:26.017311,0 days 00:05:46.851019,32,4.929612581414789,0.30000000000000004,0.5,0.5,0.45000000000000007,32,0.001069990357405286,2,1,0.0008407368934197927,COMPLETE
14,0.8783548372258201,2026-05-28 00:05:26.018293,2026-05-28 00:11:08.767963,0 days 00:05:42.749670,32,1.8668335840203871,0.5,0.5,0.6000000000000001,0.5,48,0.00035339616672509105,2,0,0.00010180565724985879,COMPLETE
