epoque,train_loss_moy,train_loss_std,train_accuracy_moy,train_accuracy_std,train_precision_moy,train_precision_std,train_recall_moy,train_recall_std,train_f1_moy,train_f1_std,val_loss_moy,val_loss_std,val_accuracy_moy,val_accuracy_std,val_precision_moy,val_precision_std,val_recall_moy,val_recall_std,val_f1_moy,val_f1_std,val_auc_moy,val_auc_std
1,0.67357802567482,0.0013843621488256752,0.5860536051702796,0.002862738351527161,0.5528043560836777,0.005538408545944973,0.28771821280591103,0.013194668576136803,0.37830010374482825,0.012052322877006996,0.6674809228897094,0.002965017207962635,0.5940023928257843,0.01368976142386021,0.6173282768660926,0.11421589738912823,0.3488345666911704,0.18590250381923493,0.39084453043639267,0.1869093775090397,0.6236144142199546,0.009175139257695506
2,0.666751714873314,0.0013243781405912235,0.6002978992854645,0.002189573446425728,0.5722898957824254,0.005545735043742434,0.3478391688608577,0.025143663564245987,0.43202752873555783,0.019287395095561297,0.6628902007102966,0.0037980739685865247,0.6068187011430788,0.0076892492191239165,0.6107757336575903,0.04756474661633316,0.3408327370742465,0.1399173192814816,0.4165179619488166,0.08234039267295988,0.6389330216521698,0.013717445129251132
3,0.6642648483037948,0.002737046967816842,0.6047663204156482,0.006161249964403033,0.5798390650434386,0.009554142724835266,0.3540406425407711,0.019539538066177663,0.43942856545654124,0.017186530794670526,0.6688842971801757,0.0138871196047704,0.5987084381265264,0.015854455173112864,0.6657706387558586,0.10968748785431538,0.25708084619782734,0.1609663335667713,0.3260450551441125,0.16809477795244454,0.6323479268664302,0.033986443739795896
4,0.6590258729100228,0.003393037804981533,0.6150927078522317,0.006379230622464864,0.6038110404954343,0.01448283679405416,0.35364025064805177,0.008739990360513471,0.4459314128551367,0.008309620805604375,0.6542138898849488,0.0031195889663699758,0.6212386414415114,0.0075381927025691495,0.613133259395133,0.052962966700737364,0.41670786571918644,0.11243459965426882,0.4797060762928977,0.08775036638826117,0.658613538819815,0.011904371720814731
5,0.6544367630839347,0.004048715600609289,0.622590374769877,0.005287647199490659,0.6129377660712192,0.009551911971326597,0.3756715326679322,0.011928369199224444,0.46573942868464274,0.010659255317128448,0.6479756470680236,0.005600795473859296,0.6297503451673129,0.005469485622419324,0.6337802831691851,0.04355902173495102,0.39913890386343215,0.10245922260657345,0.47722576438113434,0.07103680502309097,0.6721045660723424,0.010239533122644043
6,0.6469607751727104,0.004769450075989235,0.632616469774985,0.005364521543794147,0.6285021547410468,0.008386406505321468,0.3945307982773049,0.01704835923151011,0.48455421606440163,0.013944282021703624,0.6452406143188476,0.013741206984550234,0.6262439090425376,0.02776051701190438,0.7224980282933562,0.08107643622289379,0.27569471534754547,0.14481271174033447,0.3668591632882687,0.1606009181519093,0.6835292214016873,0.012349403236162014
7,0.6430810336112975,0.003138203066749792,0.6399638847241229,0.003115178802603573,0.6394448980408144,0.0026390309142914244,0.40818916579919573,0.010980501570676895,0.49822701591919427,0.008888625181272689,0.638813091468811,0.0030458983020941713,0.6435184817275977,0.00559912142997239,0.6106712130601585,0.01076509483762039,0.5150322633341501,0.012231113239025499,0.5585950723890866,0.0056616095781581105,0.6850637013073155,0.008733598955674939
8,0.6387045470118522,0.0028787987510136004,0.6445201260876956,0.0033150334421984777,0.6444671918533981,0.0025618058150213875,0.4204772028657156,0.01723378237911155,0.5087016620519738,0.012439570949664816,0.6708135688781739,0.04873068873410649,0.6266979693570393,0.030352276143379934,0.6832307514370775,0.11742294891602667,0.41865647308666176,0.21966356904763915,0.4590308768277353,0.15405447393837282,0.6573356467497625,0.04915688521679117
9,0.6378136409163474,0.004344078394674543,0.645020792600402,0.003776034164170969,0.6405166135584232,0.004339446370927701,0.432220733574184,0.016166151200980867,0.5159733065190408,0.011522828852949144,0.640825757265091,0.009686658863386283,0.6419658148048104,0.009279926179877463,0.6602279273520649,0.07827451123395363,0.4441376133300661,0.14597137962882384,0.5050267749357003,0.09764081193230623,0.6877427748627863,0.010223044876849637
10,0.6328925534963608,0.004445863515893176,0.6492388640238016,0.005170670075854096,0.6474136997625977,0.008353786666622813,0.4375068356704019,0.008166049234749163,0.5221362326037775,0.008111460518330067,0.629002562379837,0.004439197628071274,0.6511793848469827,0.0068577430174364415,0.6526592793096988,0.02248202591685307,0.44175767377276803,0.05561931984585356,0.5238809989163402,0.03479639138315979,0.6964062216171697,0.006277696096592703
