number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_post_rnn,params_dropout_pre_rnn,params_dropout_rnn,params_factor,params_hidden_dim,params_learning_rate,params_n_layers,params_patience,params_weight_decay,state
0,0.6998158588406452,2026-05-28 00:26:39.327483,2026-05-28 00:30:46.622163,0 days 00:04:07.294680,32,3.3994812107955625,0.2,0.5,0.5,0.1,64,0.00018408992080552527,2,4,0.00013066739238053285,COMPLETE
1,0.7179924927677237,2026-05-28 00:30:46.623728,2026-05-28 00:33:43.900265,0 days 00:02:57.276537,32,3.0489195547657553,0.4,0.2,0.4,0.4,48,0.0005418282319533242,1,2,0.0003823475224675188,COMPLETE
2,0.6975911834461666,2026-05-28 00:33:43.901399,2026-05-28 00:36:20.439273,0 days 00:02:36.537874,64,2.416590316244232,0.5,0.4,0.3,0.35,48,0.00019485671251272575,2,0,0.00013492834268013249,COMPLETE
3,0.6911153449986652,2026-05-28 00:36:20.440336,2026-05-28 00:37:41.730621,0 days 00:01:21.290285,128,2.9792217348362575,0.6,0.4,0.3,0.25,80,0.00027520696850790545,1,4,0.0021137059440645744,COMPLETE
4,0.7045067968579414,2026-05-28 00:37:41.731696,2026-05-28 00:40:17.828996,0 days 00:02:36.097300,64,0.9547826400522686,0.2,0.4,0.7,0.8,128,0.000215262809722153,2,1,0.00012315571723666037,COMPLETE
5,0.6683378232532332,2026-05-28 00:40:17.830081,2026-05-28 00:43:21.291895,0 days 00:03:03.461814,32,0.5338857085259134,0.4,0.2,0.5,0.65,32,0.002306287863104487,1,2,0.00830886096612208,COMPLETE
6,0.7132313577972732,2026-05-28 00:43:21.293268,2026-05-28 00:46:22.338989,0 days 00:03:01.045721,32,4.982175626258337,0.4,0.2,0.4,0.5,112,0.0010921213085451874,1,2,0.0006589837388158311,COMPLETE
7,0.7106400392964871,2026-05-28 00:46:22.342967,2026-05-28 00:47:48.000716,0 days 00:01:25.657749,128,1.5698807618409583,0.30000000000000004,0.2,0.7,0.45000000000000007,32,0.0007023323170958737,1,3,0.0005234878117183911,COMPLETE
8,0.6701544807458406,2026-05-28 00:47:48.002132,2026-05-28 00:50:52.422016,0 days 00:03:04.419884,32,1.413252894407453,0.6,0.6,0.5,0.85,80,0.00423907703989652,1,0,0.0016715497814415725,COMPLETE
9,0.7180099162238565,2026-05-28 00:50:52.423274,2026-05-28 00:55:09.192920,0 days 00:04:16.769646,32,4.720945016216621,0.30000000000000004,0.30000000000000004,0.4,0.65,96,0.0005781888258147285,2,3,0.00034182789779257786,COMPLETE
10,0.6818149186601541,2026-05-28 00:55:09.194038,2026-05-28 00:57:49.075729,0 days 00:02:39.881691,64,4.330118707926978,0.30000000000000004,0.30000000000000004,0.6000000000000001,0.65,96,0.00010102645054662848,2,3,0.0051157217815787775,COMPLETE
11,0.7146744881227787,2026-05-28 00:57:49.077198,2026-05-28 01:01:58.795595,0 days 00:04:09.718397,32,2.1828549530925945,0.30000000000000004,0.30000000000000004,0.4,0.6,64,0.0006341627818231157,2,3,0.000370347072267621,COMPLETE
12,0.712645549851674,2026-05-28 01:01:58.796748,2026-05-28 01:06:10.532733,0 days 00:04:11.735985,32,3.5839165220797375,0.5,0.30000000000000004,0.4,0.35,96,0.0004429675014539269,2,1,0.0003191840457681811,COMPLETE
13,0.712826656489825,2026-05-28 01:06:10.533798,2026-05-28 01:09:13.529539,0 days 00:03:02.995741,32,2.1866788166024,0.4,0.30000000000000004,0.4,0.75,64,0.0017221222833973349,1,2,0.00026100912250972804,COMPLETE
14,0.7196068496648774,2026-05-28 01:09:13.530718,2026-05-28 01:12:17.945392,0 days 00:03:04.414674,32,4.662027899191758,0.30000000000000004,0.2,0.3,0.55,96,0.00038866224647082873,1,3,0.001082870102385771,COMPLETE
