number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_post_rnn,params_dropout_pre_rnn,params_dropout_rnn,params_factor,params_hidden_dim,params_learning_rate,params_n_layers,params_patience,params_weight_decay,state
0,0.5105178794054003,2026-05-28 01:27:52.761001,2026-05-28 01:31:49.761072,0 days 00:03:57.000071,32,3.3994812107955625,0.2,0.5,0.5,0.1,64,0.00010255552094216992,2,4,0.00013066739238053285,COMPLETE
1,0.5506858126821159,2026-05-28 01:31:49.762337,2026-05-28 01:34:43.728148,0 days 00:02:53.965811,32,3.0489195547657553,0.4,0.2,0.4,0.4,48,0.0003654769917956456,1,2,0.0003823475224675188,COMPLETE
2,0.5110053083973864,2026-05-28 01:34:43.729641,2026-05-28 01:37:17.894871,0 days 00:02:34.165230,64,2.416590316244232,0.5,0.4,0.3,0.35,48,0.0001096524277832185,2,0,0.00013492834268013249,COMPLETE
3,0.4662152806732949,2026-05-28 01:37:17.895995,2026-05-28 01:38:38.989888,0 days 00:01:21.093893,128,2.9792217348362575,0.6,0.4,0.3,0.25,80,0.00016463795672118082,1,4,0.0021137059440645744,COMPLETE
4,0.5361479084680496,2026-05-28 01:38:38.990916,2026-05-28 01:41:09.636732,0 days 00:02:30.645816,64,0.9547826400522686,0.2,0.4,0.7,0.8,128,0.00012329223607243696,2,1,0.00012315571723666037,COMPLETE
5,0.10476190476190476,2026-05-28 01:41:09.638038,2026-05-28 01:44:03.403170,0 days 00:02:53.765132,32,0.5338857085259134,0.4,0.2,0.5,0.65,32,0.002010804001006617,1,2,0.00830886096612208,COMPLETE
6,0.5526244403243936,2026-05-28 01:44:03.404299,2026-05-28 01:47:00.549425,0 days 00:02:57.145126,32,4.982175626258337,0.4,0.2,0.4,0.5,112,0.000834076117670142,1,2,0.0006589837388158311,COMPLETE
7,0.5003616039315858,2026-05-28 01:47:00.550660,2026-05-28 01:48:22.251617,0 days 00:01:21.700957,128,1.5698807618409583,0.30000000000000004,0.2,0.7,0.55,128,0.0018300881572762822,1,3,0.0010676916501410137,COMPLETE
8,0.07668320340184268,2026-05-28 01:48:22.252736,2026-05-28 01:51:18.386540,0 days 00:02:56.133804,32,4.887813808183246,0.6,0.6,0.4,0.85,96,0.004546930437040681,1,0,0.002993620086989373,COMPLETE
9,0.5414239174473352,2026-05-28 01:51:18.387625,2026-05-28 01:55:15.848496,0 days 00:03:57.460871,32,1.2328770938235076,0.30000000000000004,0.30000000000000004,0.6000000000000001,0.65,96,0.0005598234317643986,2,3,0.00044615014214081326,COMPLETE
10,0.5445569280142835,2026-05-28 01:55:15.849640,2026-05-28 01:57:12.648827,0 days 00:01:56.799187,64,0.7498594480949886,0.5,0.30000000000000004,0.4,0.5,112,0.0007571502672315567,1,1,0.0004820589937370416,COMPLETE
11,0.5132193428541666,2026-05-28 01:57:12.649903,2026-05-28 02:00:07.792488,0 days 00:02:55.142585,32,4.467971956930272,0.4,0.2,0.4,0.4,32,0.0002815808029440139,1,2,0.0003866077596728795,COMPLETE
12,0.5585950723890866,2026-05-28 02:00:07.793593,2026-05-28 02:03:03.531433,0 days 00:02:55.737840,32,2.1458551219519233,0.30000000000000004,0.30000000000000004,0.4,0.30000000000000004,64,0.0009676536216777877,1,2,0.0008891715826640409,COMPLETE
13,0.49700033639943875,2026-05-28 02:03:03.532565,2026-05-28 02:06:00.697988,0 days 00:02:57.165423,32,1.6830347954706018,0.30000000000000004,0.30000000000000004,0.3,0.2,80,0.0011355131148969597,1,1,0.001083191218314782,COMPLETE
14,0.5132400607985093,2026-05-28 02:06:00.699083,2026-05-28 02:08:54.031062,0 days 00:02:53.331979,32,2.0654515613445503,0.30000000000000004,0.30000000000000004,0.5,0.30000000000000004,96,0.0011913776614798524,1,3,0.002018197133848844,COMPLETE
